Player,Team,Position,Games,PPR Fantasy Points,PPR Fantasy Points Per Game,Routes Run,Route Participation Percent,Rushing Snap Count,Rushing Snap Percent,Rushing Attempts,Rushing Yards,Rushing Yards Per Carry,Rushing Touchdowns,Rushing Fumbles,Rushing Fumbles Lost,Rushing First Downs,Red Zone Rush Attempts,Goal Line Rush Attempts,Goal Line Rushing Touchdowns,Rushing EPA,Rushing EPA Per Attempt,Rushing DYAR,Rushing DVOA,Rushing Success Rate,Yards Before Contact,Yards After Contact,Avoided Tackles,Avoided Tackle Percent,Win Yards Per Attempt,Explosive Runs,Explosive Run Rate,Explosive Yards,Explosive Touchdowns,Juke Rate,Stacked Box Yards Per Attempt,Second Level Yards Per Attempt,Open Field Yards Per Attempt,Adjusted Line Yards Per Attempt,Stuffed Rate,Power Run Success Rate,Inside Zone Attempts,Inside Zone Percent,Inside Zone Yards Per Attempt,Outside Zone Attempts,Outside Zone Percent,Outside Zone Yards Per Attempt,Power Attempts,Power Percent,Power Yards Per Attempt,Man/Duo Attempts,Man/Duo Percent,Man/Duo Yards Per Attempt,Counter Attempts,Counter Percent,Counter Yards Per Attempt,Stacked Box Attempts,Stacked Box Percent,Stacked Box Run Yards Per Attempt,Designed Run Attempts,Designed Run Percent,Designed Run Yards Per Attempt,Scramble Attempts,Scramble Percent,Scramble Yards Per Attempt,Rushing Attempt Share,Touches,Touch Share,Rushing Opportunities,Rushing Opportunity Share,Team Rushing Attempt Share,Team Rushing Touch Share,Team Rushing Opportunity Share,Rushing Attempts Per Game,Touches Per Game,Receiving Snap Count,Receiving Snap Percent,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Target,Yards Per Reception,Catch Percent,Yards After Catch,Yards After Catch Per Reception,Receiving First Downs,Longest Reception,100 Plus Yard Games,Targets Per Game,Receptions Per Game,Receiving Yards Per Game,End Zone Targets,End Zone Touchdowns,Receiving EPA,Receiving EPA Per Target,Receiving DYAR,Receiving DVOA,Routes Run Efficiency,Yards Per Route Run,Explosive Receptions,Explosive Reception Rate,Explosive Receiving Yards,Explosive Receiving Touchdowns,Catchable Targets,Catchable Target Rate,Adjusted Catch Percent,Contested Targets,Contested Target Rate,Contested Receptions,Contested Catch Rate,Created Catches,Drops,Drop Rate,Receiving Success Rate,Forced Missed Tackles,Single-High Coverage Target Percent,Single-High Coverage Yards Per Route Run,Two-High Coverage Target Percent,Two-High Coverage Yards Per Route Run,Zero Coverage Target Percent,Zero Coverage Yards Per Route Run,Man Coverage Target Percent,Man Coverage Yards Per Route Run,Zone Coverage Target Percent,Zone Coverage Yards Per Route Run,Tight Coverage Percent,Step Coverage Rate,Open Target Percent,Wide Open Target Percent,Close Coverage Target Percent,Wide Alignment Routes,Wide Alignment Percent,Wide Alignment Yards Per Route Run,Slot Alignment Routes,Slot Alignment Percent,Slot Alignment Yards Per Route Run,Backfield Alignment Routes,Backfield Alignment Percent,Backfield Alignment Yards Per Route Run,Inline Alignment Routes,Inline Alignment Percent,Inline Alignment Yards Per Route Run,Off-Line Alignment Routes,Off-Line Alignment Percent,Off-Line Alignment Yards Per Route Run,Air Yards,Average Depth of Target,Air Yards Per Game,Air Yards Per Route Run,Receiver Air Conversion Ratio,Weighted Opportunity Rating,Team Air Yards Share,Catchable Air Yards,Catchable Air Yards Rate,Prayer Yards,Prayer Yard Rate,Dropped Air Yards,20 Plus Yard Targets,20 Plus Yard Catches,20 Plus Yard Catch Rate,20 Plus Target Percent,20 Plus Yard Receiving Yards,20 Plus Yard Receiving Touchdowns,Target Share,First Read Targets,First Read Target Rate,First Read Target Share,Receiving Opportunities,Receiving Opportunity Share,Season
Christian McCaffrey,SF,RB,16.0,395.3,24.706,430.0,81.905,769.0,73.659,272.0,1459.0,5.364,14.0,2.0,2.0,84.0,65.0,18.0,7.0,9.115,0.034,331.0,17.5,46.691,2.327,3.037,71.0,26.103,3.643,44.0,16.176,815.0,3.0,4.779,5.017,1.301,2.996,3.205,15.074,70.37,82.0,30.147,5.329,89.0,32.721,6.303,20.0,7.353,5.65,45.0,16.544,3.867,18.0,6.618,3.278,176.0,64.706,5.017,0.0,0.0,0.0,0.0,0.0,0.0,54.509,339.0,40.599,355.0,34.668,61.959,40.599,34.668,17.0,21.188,769.0,73.659,83.0,67.0,564.0,7.0,6.795,8.418,80.723,461.0,6.881,32.0,41.0,0.0,5.188,4.188,35.25,4.0,2.0,15.811,0.19,240.0,37.98,430.0,1.312,4.0,4.819,137.0,2.0,70.0,84.337,95.714,5.0,6.024,2.0,40.0,3.0,2.0,2.857,55.422,6.0,55.116,0.738,40.93,1.977,3.721,2.563,36.977,1.201,62.791,1.381,7.229,6.024,49.398,10.843,24.096,42.0,9.767,2.024,53.0,12.326,2.245,324.0,75.349,1.111,0.0,0.0,0.0,11.0,2.558,0.0,153.0,1.843,9.563,0.356,3.686,0.264,3.827,113.0,73.856,40.0,26.144,6.0,1.0,1.0,100.0,1.205,41.0,1.0,15.81,17.0,20.482,3.119,355.0,34.668,2023
Kyren Williams,LA,RB,12.0,256.8,21.4,402.0,65.154,655.0,58.744,228.0,1144.0,5.018,12.0,2.0,1.0,63.0,55.0,17.0,4.0,9.261,0.041,278.0,19.23,47.368,2.114,2.904,58.0,25.439,3.215,26.0,11.404,437.0,2.0,3.509,5.089,1.996,1.917,3.412,12.281,85.71,58.0,25.439,5.448,39.0,17.105,5.154,5.0,2.193,2.0,105.0,46.053,4.933,7.0,3.07,6.0,112.0,49.123,5.089,1.0,0.439,9.0,0.0,0.0,0.0,47.799,260.0,31.026,276.0,25.229,52.294,31.026,25.229,19.0,21.667,655.0,58.744,48.0,32.0,204.0,3.0,4.25,6.375,66.667,275.0,8.594,10.0,24.0,0.0,4.0,2.667,17.0,2.0,1.0,-7.99,-0.166,-2.0,-14.64,402.0,0.507,2.0,4.167,44.0,0.0,36.0,75.0,88.889,4.0,8.333,2.0,50.0,0.0,3.0,8.333,37.5,2.0,54.726,0.332,40.796,0.78,3.98,0.188,43.781,0.142,55.721,0.799,14.583,0.0,58.333,6.25,16.667,14.0,3.483,0.0,16.0,3.98,0.438,371.0,92.289,0.531,0.0,0.0,0.0,1.0,0.249,0.0,10.0,0.208,0.833,0.025,20.4,0.118,0.221,-54.0,-540.0,64.0,640.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.78,5.0,10.417,0.784,276.0,25.229,2023
Raheem Mostert,MIA,RB,15.0,269.7,17.98,277.0,46.399,524.0,49.018,209.0,1012.0,4.842,18.0,2.0,1.0,59.0,47.0,20.0,8.0,13.084,0.063,321.0,25.87,45.933,1.914,2.928,48.0,22.967,3.124,30.0,14.354,515.0,5.0,2.871,4.573,1.445,2.464,3.012,16.268,70.59,70.0,33.493,5.086,50.0,23.923,6.56,10.0,4.785,3.0,56.0,26.794,3.554,10.0,4.785,3.2,103.0,49.282,4.573,0.0,0.0,0.0,0.0,0.0,0.0,45.833,234.0,27.562,241.0,22.887,50.605,27.562,22.887,13.933,15.6,524.0,49.018,32.0,25.0,175.0,3.0,5.469,7.0,78.125,213.0,8.52,6.0,22.0,0.0,2.133,1.667,11.667,1.0,0.0,4.186,0.131,42.0,12.93,277.0,0.632,1.0,3.125,22.0,0.0,26.0,81.25,96.154,2.0,6.25,2.0,100.0,2.0,1.0,3.846,40.625,10.0,38.989,0.296,54.874,0.914,5.054,0.286,37.184,0.505,61.733,0.719,3.125,3.125,50.0,21.875,21.875,31.0,11.191,0.161,34.0,12.274,1.176,200.0,72.202,0.61,0.0,0.0,0.0,11.0,3.971,0.727,-20.0,-0.625,-1.333,-0.072,-8.75,0.077,-0.464,-34.0,170.0,14.0,-70.0,4.0,2.0,1.0,50.0,6.25,22.0,0.0,5.36,4.0,12.5,0.653,241.0,22.887,2023
De'Von Achane,MIA,RB,11.0,192.7,17.518,171.0,28.643,287.0,26.848,103.0,800.0,7.767,8.0,1.0,1.0,30.0,23.0,5.0,1.0,27.289,0.265,230.0,49.14,55.34,4.476,3.291,26.0,25.243,4.058,22.0,21.359,534.0,4.0,3.883,7.712,1.777,5.184,3.439,15.534,75.0,17.0,16.505,5.706,22.0,21.359,8.182,7.0,6.796,7.0,39.0,37.864,7.359,3.0,2.913,-2.0,59.0,57.282,7.712,0.0,0.0,0.0,0.0,0.0,0.0,22.588,130.0,15.312,140.0,13.295,24.939,15.312,13.295,9.364,11.818,287.0,26.848,37.0,27.0,197.0,3.0,5.324,7.296,72.973,262.0,9.704,10.0,23.0,0.0,3.364,2.455,17.909,2.0,1.0,4.235,0.114,65.0,15.8,171.0,1.152,2.0,5.405,44.0,0.0,27.0,72.973,100.0,3.0,8.108,1.0,33.333,0.0,0.0,0.0,43.243,10.0,35.088,0.55,62.573,1.533,1.17,0.0,36.257,1.468,62.573,0.991,10.811,8.108,54.054,18.919,8.108,20.0,11.696,0.2,43.0,25.146,2.209,102.0,59.649,0.873,0.0,0.0,0.0,6.0,3.509,1.5,26.0,0.703,2.364,0.152,7.577,0.097,0.604,-55.0,-211.538,81.0,311.538,0.0,1.0,0.0,0.0,2.703,0.0,0.0,6.198,5.0,13.514,0.816,140.0,13.295,2023
Alvin Kamara,NO,RB,13.0,227.0,17.462,324.0,50.546,533.0,47.043,180.0,694.0,3.856,5.0,0.0,0.0,43.0,38.0,12.0,3.0,0.968,0.005,167.0,12.22,38.333,1.856,2.0,25.0,13.889,2.1,15.0,8.333,200.0,1.0,2.222,3.376,1.494,1.111,2.987,19.444,66.67,65.0,36.111,3.769,38.0,21.111,3.947,10.0,5.556,2.9,52.0,28.889,4.0,5.0,2.778,1.8,93.0,51.667,3.376,0.0,0.0,0.0,0.0,0.0,0.0,37.5,255.0,28.781,266.0,23.729,49.724,28.781,23.729,13.846,19.615,533.0,47.043,86.0,75.0,466.0,1.0,5.419,6.213,87.209,501.0,6.68,23.0,25.0,0.0,6.615,5.769,35.846,0.0,0.0,7.142,0.083,60.0,-1.83,324.0,1.438,3.0,3.488,66.0,0.0,80.0,93.023,93.75,4.0,4.651,1.0,25.0,0.0,3.0,3.75,41.86,13.0,44.444,1.153,52.778,1.725,2.778,0.556,36.42,1.28,63.58,1.529,8.14,3.488,63.953,9.302,15.116,20.0,6.173,0.3,13.0,4.012,2.231,277.0,85.494,1.487,0.0,0.0,0.0,14.0,4.321,1.357,5.0,0.058,0.385,0.015,93.2,0.202,0.1,-20.0,-400.0,25.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.417,8.0,9.302,1.225,266.0,23.729,2023
Breece Hall,NYJ,RB,17.0,288.5,16.971,374.0,56.241,630.0,58.118,223.0,994.0,4.457,5.0,2.0,0.0,40.0,24.0,1.0,1.0,-4.225,-0.019,35.0,-4.85,34.081,2.139,2.318,53.0,23.767,2.901,20.0,8.969,506.0,3.0,3.587,4.701,1.242,2.269,2.471,24.664,57.14,70.0,31.39,3.514,56.0,25.112,4.321,11.0,4.933,3.636,69.0,30.942,5.188,10.0,4.484,9.1,117.0,52.466,4.701,1.0,0.448,2.0,0.0,0.0,0.0,57.474,299.0,40.188,318.0,30.199,66.172,40.188,30.199,13.118,17.588,630.0,58.118,95.0,76.0,591.0,4.0,6.221,7.776,80.0,649.0,8.539,28.0,50.0,0.0,5.588,4.471,34.765,0.0,0.0,8.492,0.089,128.0,10.8,374.0,1.58,7.0,7.368,203.0,2.0,81.0,85.263,93.827,4.0,4.211,2.0,50.0,2.0,4.0,4.938,38.947,24.0,46.257,1.682,50.802,1.547,2.406,0.667,48.93,1.153,50.535,2.011,8.421,4.211,47.368,18.947,18.947,37.0,9.893,1.297,8.0,2.139,3.375,315.0,84.225,1.59,0.0,0.0,0.0,14.0,3.743,1.071,-46.0,-0.484,-2.706,-0.123,-12.848,0.206,-1.148,-25.0,54.348,-21.0,45.652,3.0,1.0,0.0,0.0,1.053,0.0,0.0,14.286,13.0,13.684,1.868,318.0,30.199,2023
Travis Etienne,JAX,RB,17.0,278.4,16.376,483.0,73.071,807.0,69.629,267.0,1008.0,3.775,11.0,0.0,0.0,53.0,39.0,11.0,4.0,-12.446,-0.047,40.0,-4.9,34.831,1.667,2.109,49.0,18.352,2.112,22.0,8.24,396.0,5.0,0.749,3.743,1.176,1.483,2.556,25.468,47.83,80.0,29.963,3.975,36.0,13.483,4.528,27.0,10.112,2.37,95.0,35.581,3.842,16.0,5.993,1.438,109.0,40.824,3.743,8.0,2.996,5.625,0.0,0.0,0.0,58.94,325.0,37.572,340.0,30.521,71.774,37.572,30.521,15.706,19.118,807.0,69.629,73.0,58.0,476.0,1.0,6.521,8.207,79.452,523.0,9.017,23.0,56.0,0.0,4.294,3.412,28.0,0.0,0.0,12.474,0.171,151.0,22.74,483.0,0.986,2.0,2.74,78.0,1.0,64.0,87.671,90.625,5.0,6.849,2.0,40.0,0.0,5.0,7.813,49.315,20.0,52.381,0.672,44.099,1.413,2.692,0.0,42.65,0.461,56.522,1.377,8.219,2.74,39.726,34.247,13.699,36.0,7.453,1.694,9.0,1.863,0.0,438.0,90.683,0.947,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,-0.918,-3.941,-0.139,-7.104,0.156,-1.339,-40.0,59.701,-27.0,40.299,-16.0,2.0,1.0,50.0,2.74,56.0,1.0,11.044,5.0,6.849,0.708,340.0,30.521,2023
Jahmyr Gibbs,DET,RB,15.0,244.1,16.273,357.0,56.044,567.0,49.563,182.0,945.0,5.192,10.0,2.0,1.0,43.0,38.0,11.0,3.0,8.242,0.045,197.0,17.38,37.363,2.396,2.797,45.0,24.725,3.429,27.0,14.835,510.0,5.0,7.143,5.094,1.319,2.802,3.087,17.033,58.82,61.0,33.516,5.361,45.0,24.725,5.8,32.0,17.582,3.688,26.0,14.286,4.654,9.0,4.945,2.0,117.0,64.286,5.094,0.0,0.0,0.0,0.0,0.0,0.0,36.4,234.0,25.771,253.0,22.252,39.056,25.771,22.252,12.133,15.6,567.0,49.563,71.0,52.0,316.0,1.0,4.451,6.077,73.239,314.0,6.038,21.0,24.0,0.0,4.733,3.467,21.067,0.0,0.0,-3.785,-0.053,21.0,-9.57,357.0,0.885,2.0,2.817,45.0,0.0,58.0,81.69,89.655,2.0,2.817,1.0,50.0,0.0,7.0,12.069,42.254,11.0,50.98,0.874,44.538,0.906,3.641,0.0,42.577,0.526,56.583,1.104,8.451,11.268,56.338,12.676,8.451,43.0,12.045,0.512,25.0,7.003,0.68,289.0,80.952,0.958,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.113,0.533,0.022,39.5,0.169,0.196,1.0,12.5,7.0,87.5,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,11.146,7.0,9.859,1.087,253.0,22.252,2023
Saquon Barkley,NYG,RB,14.0,225.2,16.086,359.0,59.536,685.0,60.889,247.0,962.0,3.895,6.0,2.0,2.0,52.0,42.0,8.0,3.0,-18.178,-0.074,-33.0,-13.0,36.032,1.381,2.514,35.0,14.17,2.745,26.0,10.526,462.0,0.0,2.024,3.866,1.198,1.87,2.234,25.101,63.16,69.0,27.935,3.913,37.0,14.98,5.108,14.0,5.668,1.143,83.0,33.603,3.952,21.0,8.502,4.143,119.0,48.178,3.866,3.0,1.215,0.667,0.0,0.0,0.0,54.405,288.0,36.364,307.0,29.044,72.647,36.364,29.044,17.643,20.571,685.0,60.889,60.0,41.0,280.0,4.0,4.667,6.829,68.333,226.0,5.512,17.0,46.0,0.0,4.286,2.929,20.0,2.0,1.0,-13.846,-0.231,44.0,-0.59,359.0,0.78,4.0,6.667,123.0,2.0,46.0,76.667,89.13,1.0,1.667,1.0,100.0,2.0,7.0,15.217,40.0,7.0,51.532,0.968,45.404,0.589,3.064,0.455,40.111,0.931,59.889,0.679,6.667,10.0,53.333,11.667,13.333,26.0,7.242,0.538,22.0,6.128,2.636,299.0,83.287,0.696,0.0,0.0,0.0,12.0,3.343,0.0,146.0,2.433,10.429,0.407,1.918,0.176,3.844,62.0,42.466,84.0,57.534,18.0,5.0,3.0,60.0,8.333,91.0,1.0,9.95,13.0,21.667,1.937,307.0,29.044,2023
Rachaad White,TB,RB,17.0,271.9,15.994,484.0,79.605,801.0,74.373,272.0,990.0,3.64,6.0,1.0,1.0,49.0,39.0,11.0,5.0,-2.672,-0.01,-17.0,-10.08,30.147,1.588,2.051,45.0,16.544,2.077,21.0,7.721,310.0,0.0,2.574,3.416,0.882,1.14,2.661,13.235,73.08,90.0,33.088,3.456,13.0,4.779,0.846,13.0,4.779,3.769,112.0,41.176,3.589,27.0,9.926,5.111,89.0,32.721,3.416,0.0,0.0,0.0,0.0,0.0,0.0,61.959,336.0,41.843,342.0,32.665,72.34,41.843,32.665,16.0,19.765,801.0,74.373,70.0,64.0,549.0,3.0,7.843,8.578,91.429,611.0,9.547,23.0,43.0,0.0,4.118,3.765,32.294,1.0,0.0,17.307,0.247,189.0,35.6,484.0,1.134,10.0,14.286,259.0,3.0,68.0,97.143,94.118,2.0,2.857,0.0,0.0,0.0,4.0,5.882,51.429,21.0,46.488,1.142,50.207,1.202,1.86,0.0,35.124,0.965,63.43,1.254,5.714,0.0,55.714,15.714,22.857,54.0,11.157,1.111,28.0,5.785,0.393,381.0,78.719,1.231,0.0,0.0,0.0,21.0,4.339,0.429,-33.0,-0.471,-1.941,-0.068,-16.636,0.168,-0.68,-55.0,166.667,22.0,-66.667,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.513,5.0,7.143,0.784,342.0,32.665,2023
