Player,Team,Position,Games,PPR Fantasy Points,PPR Fantasy Points Per Game,Routes Run,Route Participation Percent,Rushing Snap Count,Rushing Snap Percent,Rushing Attempts,Rushing Yards,Rushing Yards Per Carry,Rushing Touchdowns,Rushing Fumbles,Rushing Fumbles Lost,Rushing First Downs,Red Zone Rush Attempts,Goal Line Rush Attempts,Goal Line Rushing Touchdowns,Rushing EPA,Rushing EPA Per Attempt,Rushing DYAR,Rushing DVOA,Rushing Success Rate,Yards Before Contact,Yards After Contact,Avoided Tackles,Avoided Tackle Percent,Win Yards Per Attempt,Explosive Runs,Explosive Run Rate,Explosive Yards,Explosive Touchdowns,Juke Rate,Stacked Box Yards Per Attempt,Second Level Yards Per Attempt,Open Field Yards Per Attempt,Adjusted Line Yards Per Attempt,Stuffed Rate,Power Run Success Rate,Inside Zone Attempts,Inside Zone Percent,Inside Zone Yards Per Attempt,Outside Zone Attempts,Outside Zone Percent,Outside Zone Yards Per Attempt,Power Attempts,Power Percent,Power Yards Per Attempt,Man/Duo Attempts,Man/Duo Percent,Man/Duo Yards Per Attempt,Counter Attempts,Counter Percent,Counter Yards Per Attempt,Stacked Box Attempts,Stacked Box Percent,Stacked Box Run Yards Per Attempt,Designed Run Attempts,Designed Run Percent,Designed Run Yards Per Attempt,Scramble Attempts,Scramble Percent,Scramble Yards Per Attempt,Rushing Attempt Share,Touches,Touch Share,Rushing Opportunities,Rushing Opportunity Share,Team Rushing Attempt Share,Team Rushing Touch Share,Team Rushing Opportunity Share,Rushing Attempts Per Game,Touches Per Game,Receiving Snap Count,Receiving Snap Percent,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Target,Yards Per Reception,Catch Percent,Yards After Catch,Yards After Catch Per Reception,Receiving First Downs,Longest Reception,100 Plus Yard Games,Targets Per Game,Receptions Per Game,Receiving Yards Per Game,End Zone Targets,End Zone Touchdowns,Receiving EPA,Receiving EPA Per Target,Receiving DYAR,Receiving DVOA,Routes Run Efficiency,Yards Per Route Run,Explosive Receptions,Explosive Reception Rate,Explosive Receiving Yards,Explosive Receiving Touchdowns,Catchable Targets,Catchable Target Rate,Adjusted Catch Percent,Contested Targets,Contested Target Rate,Contested Receptions,Contested Catch Rate,Created Catches,Drops,Drop Rate,Receiving Success Rate,Forced Missed Tackles,Single-High Coverage Target Percent,Single-High Coverage Yards Per Route Run,Two-High Coverage Target Percent,Two-High Coverage Yards Per Route Run,Zero Coverage Target Percent,Zero Coverage Yards Per Route Run,Man Coverage Target Percent,Man Coverage Yards Per Route Run,Zone Coverage Target Percent,Zone Coverage Yards Per Route Run,Tight Coverage Percent,Step Coverage Rate,Open Target Percent,Wide Open Target Percent,Close Coverage Target Percent,Wide Alignment Routes,Wide Alignment Percent,Wide Alignment Yards Per Route Run,Slot Alignment Routes,Slot Alignment Percent,Slot Alignment Yards Per Route Run,Backfield Alignment Routes,Backfield Alignment Percent,Backfield Alignment Yards Per Route Run,Inline Alignment Routes,Inline Alignment Percent,Inline Alignment Yards Per Route Run,Off-Line Alignment Routes,Off-Line Alignment Percent,Off-Line Alignment Yards Per Route Run,Air Yards,Average Depth of Target,Air Yards Per Game,Air Yards Per Route Run,Receiver Air Conversion Ratio,Weighted Opportunity Rating,Team Air Yards Share,Catchable Air Yards,Catchable Air Yards Rate,Prayer Yards,Prayer Yard Rate,Dropped Air Yards,20 Plus Yard Targets,20 Plus Yard Catches,20 Plus Yard Catch Rate,20 Plus Target Percent,20 Plus Yard Receiving Yards,20 Plus Yard Receiving Touchdowns,Target Share,First Read Targets,First Read Target Rate,First Read Target Share,Receiving Opportunities,Receiving Opportunity Share,Season
Aaron Jones 24,MIN,RB,17.00,247.60,14.56,366.00,61.31,659.00,60.85,255.00,1138.00,4.46,5.00,3.00,1.00,49.00,43.00,13.00,2.00,-19.52,-0.08,57.19,-3.39,40.39,1.95,2.52,47.00,18.43,2.52,25.00,9.80,412.00,2.00,0.78,4.34,1.39,1.62,4.61,14.51,40.00,85.00,33.33,4.95,77.00,30.20,4.14,18.00,7.06,3.61,56.00,21.96,4.25,10.00,3.92,3.30,126.00,49.41,4.34,0.00,0.00,0.00,0.00,0.00,0.00,55.80,306.00,37.27,317.00,30.08,65.89,37.27,30.08,15.00,18.00,659.00,60.85,62.00,51.00,408.00,2.00,6.58,8.00,82.26,411.00,8.06,21.00,25.00,0.00,3.65,3.00,24.00,1.00,0.00,3.30,0.05,46.08,-0.91,366.00,1.11,4.00,6.45,91.00,0.00,54.00,87.10,94.44,5.00,8.06,2.00,40.00,2.00,3.00,5.56,54.84,6.00,46.99,0.88,49.45,1.40,3.55,0.23,43.17,0.99,56.83,1.21,14.52,3.23,45.16,19.36,16.13,14.00,3.83,4.64,8.00,2.19,5.25,324.00,88.53,0.83,0.00,0.00,0.00,20.00,5.46,1.55,54.00,0.87,3.18,0.15,7.56,0.16,1.17,8.00,14.81,46.00,85.19,29.00,3.00,2.00,66.67,4.84,49.00,0.00,10.38,11.00,17.74,1.76,317.00,30.08,2024
Alexander Mattison 24,LV,RB,14.00,137.40,9.81,254.00,37.08,411.00,37.88,132.00,420.00,3.18,4.00,1.00,1.00,25.00,23.00,11.00,3.00,-32.89,-0.25,-84.14,-24.69,31.06,1.26,1.92,17.00,12.88,1.95,7.00,5.30,106.00,0.00,1.51,2.53,0.89,0.80,3.34,21.21,66.67,37.00,28.03,4.38,31.00,23.48,2.77,17.00,12.88,2.82,37.00,28.03,2.68,1.00,0.76,3.00,38.00,28.79,2.53,0.00,0.00,0.00,0.00,0.00,0.00,34.74,168.00,21.27,180.00,16.90,39.88,21.27,16.90,9.43,12.00,411.00,37.88,48.00,36.00,294.00,1.00,6.12,8.17,75.00,314.00,8.72,13.00,31.00,0.00,3.43,2.57,21.00,0.00,0.00,-6.28,-0.13,45.83,2.79,254.00,1.16,3.00,6.25,84.00,1.00,39.00,81.25,92.31,3.00,6.25,3.00,100.00,0.00,2.00,5.13,41.67,10.00,51.97,1.11,42.13,1.38,4.72,0.00,52.76,1.12,46.06,1.23,16.67,2.08,41.67,25.00,12.50,15.00,5.91,0.00,6.00,2.36,1.00,233.00,91.73,1.24,0.00,0.00,0.00,0.00,0.00,0.00,-4.00,-0.08,-0.29,-0.02,-73.50,0.10,-0.09,-23.00,575.00,19.00,-475.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,7.01,4.00,8.33,0.57,180.00,16.90,2024
Alvin Kamara 24,NO,RB,14.00,265.30,18.95,340.00,57.82,622.00,58.73,228.00,950.00,4.17,6.00,0.00,0.00,52.00,35.00,11.00,2.00,-19.94,-0.09,20.96,-6.40,39.91,1.82,2.35,41.00,17.98,2.52,25.00,10.96,356.00,1.00,2.63,3.50,1.52,1.56,3.79,20.18,50.00,72.00,31.58,4.36,102.00,44.74,4.43,12.00,5.26,3.92,21.00,9.21,1.91,1.00,0.44,0.00,131.00,57.46,3.50,1.00,0.44,0.00,0.00,0.00,0.00,51.35,296.00,37.76,317.00,30.72,63.51,37.76,30.72,16.29,21.14,622.00,58.73,89.00,68.00,543.00,2.00,6.10,7.99,76.40,542.00,7.97,18.00,57.00,0.00,6.36,4.86,38.79,1.00,1.00,-6.14,-0.07,7.80,-12.16,340.00,1.60,7.00,7.87,222.00,2.00,76.00,85.39,89.47,3.00,3.37,1.00,33.33,2.00,6.00,7.89,34.83,5.00,52.94,1.52,42.06,1.62,4.12,0.64,48.82,1.76,50.29,1.30,8.99,4.49,52.81,14.61,17.98,15.00,4.41,3.53,45.00,13.23,2.60,277.00,81.47,1.35,0.00,0.00,0.00,3.00,0.88,0.00,79.00,0.89,5.64,0.23,6.87,0.24,1.79,40.00,50.63,39.00,49.37,36.00,4.00,2.00,50.00,4.49,48.00,1.00,15.14,13.00,14.61,2.11,317.00,30.72,2024
Ameer Abdullah 24,LV,RB,14.00,127.20,9.09,306.00,44.67,382.00,35.21,66.00,311.00,4.71,2.00,1.00,1.00,14.00,13.00,4.00,0.00,-9.26,-0.14,15.83,-2.60,39.39,2.52,2.20,13.00,19.70,2.35,8.00,12.12,126.00,0.00,4.54,2.00,1.61,1.91,4.47,16.67,40.00,22.00,33.33,3.32,20.00,30.30,4.70,8.00,12.12,4.12,7.00,10.61,9.86,6.00,9.09,2.67,17.00,25.76,2.00,1.00,1.51,4.00,0.00,0.00,0.00,17.37,106.00,13.42,113.00,10.61,19.94,13.42,10.61,5.50,8.83,382.00,35.21,47.00,40.00,261.00,3.00,5.55,6.53,85.11,252.00,6.30,16.00,24.00,0.00,3.36,2.86,18.64,1.00,1.00,11.85,0.25,87.12,18.58,306.00,0.85,1.00,2.13,24.00,0.00,41.00,87.23,97.56,2.00,4.25,2.00,100.00,2.00,1.00,2.44,51.06,6.00,50.00,0.71,44.12,0.99,5.56,1.06,54.58,0.90,45.10,0.80,4.25,2.13,61.70,14.89,14.89,14.00,4.58,0.57,13.00,4.25,0.69,279.00,91.18,0.88,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.66,2.21,0.10,8.42,0.11,0.70,13.00,41.94,18.00,58.06,4.00,0.00,0.00,0.00,0.00,0.00,0.00,6.86,13.00,27.66,1.84,113.00,10.61,2024
Antonio Gibson 24,NE,RB,17.00,103.30,6.08,183.00,31.44,335.00,30.90,120.00,538.00,4.48,1.00,2.00,0.00,24.00,15.00,3.00,0.00,-13.59,-0.11,3.65,-7.84,34.17,0.86,3.62,39.00,32.50,4.12,14.00,11.67,250.00,1.00,2.50,4.19,1.46,2.08,3.50,22.50,37.50,30.00,25.00,2.87,33.00,27.50,5.64,18.00,15.00,5.72,21.00,17.50,5.19,5.00,4.17,5.60,43.00,35.83,4.19,0.00,0.00,0.00,0.00,0.00,0.00,26.91,143.00,18.12,149.00,14.49,32.70,18.12,14.49,7.06,8.41,335.00,30.90,29.00,23.00,205.00,0.00,7.07,8.91,79.31,212.00,9.22,11.00,50.00,0.00,1.71,1.35,12.06,0.00,0.00,2.41,0.08,57.20,22.62,183.00,1.12,2.00,6.90,70.00,0.00,24.00,82.76,95.83,1.00,3.45,1.00,100.00,1.00,1.00,4.17,51.72,5.00,61.75,1.11,34.97,1.23,3.28,0.00,60.11,1.10,39.89,1.15,13.79,10.35,37.93,27.59,10.35,15.00,8.20,1.07,6.00,3.28,0.00,155.00,84.70,1.17,0.00,0.00,0.00,7.00,3.83,1.00,53.00,1.83,3.12,0.29,3.87,0.08,1.38,-6.00,-11.32,59.00,111.32,1.00,2.00,0.00,0.00,6.90,0.00,0.00,4.98,6.00,20.69,0.94,149.00,14.49,2024
Audric Estimé 24,DEN,RB,10.00,50.70,5.07,45.00,7.58,130.00,11.78,76.00,310.00,4.08,2.00,2.00,1.00,15.00,11.00,2.00,1.00,-8.98,-0.12,21.80,-1.63,39.47,1.13,2.95,11.00,14.47,2.95,5.00,6.58,67.00,0.00,0.00,4.43,1.60,0.88,4.85,10.53,100.00,27.00,35.53,3.37,7.00,9.21,5.00,11.00,14.47,3.91,23.00,30.26,4.43,3.00,3.95,4.33,46.00,60.53,4.43,0.00,0.00,0.00,0.00,0.00,0.00,16.49,81.00,9.64,81.00,7.68,20.82,10.84,8.42,5.85,6.23,130.00,11.78,5.00,5.00,27.00,0.00,5.40,5.40,100.00,37.00,7.40,2.00,13.00,0.00,0.50,0.50,2.70,0.00,0.00,-0.77,-0.15,5.21,5.84,45.00,0.60,0.00,0.00,0.00,0.00,5.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,1.00,64.44,0.38,26.67,1.33,8.89,0.00,53.33,0.00,46.67,1.29,0.00,0.00,40.00,40.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,100.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-2.00,-1.00,-0.22,-2.70,0.01,-0.24,-10.00,100.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.00,81.00,7.68,2024
Austin Ekeler 24,WAS,RB,12.00,132.30,11.03,228.00,39.65,384.00,32.62,77.00,367.00,4.77,4.00,1.00,0.00,20.00,20.00,5.00,3.00,2.60,0.03,81.53,15.31,44.16,2.88,1.88,12.00,15.58,1.88,7.00,9.09,156.00,1.00,0.00,4.03,1.21,2.03,3.98,16.88,88.89,24.00,31.17,5.62,8.00,10.39,1.25,11.00,14.29,5.09,15.00,19.48,4.07,5.00,6.49,1.60,31.00,40.26,4.03,0.00,0.00,0.00,0.00,0.00,0.00,14.64,112.00,12.57,118.00,10.72,21.39,15.07,12.38,6.42,9.33,384.00,32.62,41.00,35.00,366.00,0.00,8.93,10.46,85.37,424.00,12.11,14.00,34.00,0.00,3.42,2.92,30.50,0.00,0.00,13.81,0.34,85.12,24.33,228.00,1.60,8.00,19.51,213.00,0.00,38.00,92.68,92.11,0.00,0.00,0.00,0.00,0.00,3.00,7.89,48.78,8.00,64.03,1.83,32.02,1.38,3.51,-0.38,54.83,1.61,44.74,1.61,0.00,2.44,53.66,29.27,14.63,10.00,4.39,3.00,54.00,23.68,1.28,163.00,71.49,1.61,0.00,0.00,0.00,1.00,0.44,4.00,-59.00,-1.44,-4.92,-0.26,-6.20,0.10,-1.48,-54.00,91.53,-5.00,8.47,4.00,0.00,0.00,0.00,0.00,0.00,0.00,7.13,7.00,17.07,1.07,118.00,10.72,2024
Bijan Robinson 24,ATL,RB,17.00,339.70,19.98,478.00,80.88,810.00,74.11,304.00,1456.00,4.79,14.00,1.00,0.00,83.00,60.00,17.00,6.00,9.92,0.03,346.05,17.11,49.34,1.95,2.84,68.00,22.37,3.12,34.00,11.18,522.00,2.00,3.95,4.11,1.82,1.72,4.39,13.82,71.43,69.00,22.70,4.86,178.00,58.55,4.78,1.00,0.33,4.00,43.00,14.14,4.86,2.00,0.66,5.50,98.00,32.24,4.11,1.00,0.33,1.00,0.00,0.00,0.00,61.41,365.00,42.49,376.00,34.62,65.38,42.49,34.62,17.88,21.47,810.00,74.11,72.00,61.00,431.00,1.00,5.99,7.07,84.72,531.00,8.71,20.00,29.00,0.00,4.24,3.59,25.35,0.00,0.00,7.65,0.11,76.83,6.70,478.00,0.90,3.00,4.17,81.00,0.00,63.00,87.50,96.83,2.00,2.78,0.00,0.00,2.00,2.00,3.17,47.22,15.00,52.72,1.11,43.10,0.74,4.18,0.00,44.98,0.83,55.02,0.96,6.94,4.17,48.61,29.17,11.11,19.00,3.98,1.63,21.00,4.39,1.91,433.00,90.59,0.83,0.00,0.00,0.00,5.00,1.05,0.00,-21.00,-0.29,-1.24,-0.04,-20.52,0.18,-0.47,-96.00,457.14,75.00,-357.14,4.00,2.00,0.00,0.00,2.78,0.00,0.00,12.18,9.00,12.50,1.50,376.00,34.62,2024
Blake Corum 24,LA,RB,10.00,33.50,3.35,45.00,7.63,111.00,10.63,58.00,207.00,3.57,0.00,0.00,0.00,12.00,8.00,5.00,0.00,-10.83,-0.19,7.68,-5.39,36.21,1.12,2.45,13.00,22.41,2.69,4.00,6.90,43.00,0.00,3.45,2.90,1.45,0.74,3.79,18.97,66.67,17.00,29.31,4.82,13.00,22.41,3.00,1.00,1.72,2.00,21.00,36.21,3.33,1.00,1.72,6.00,19.00,32.76,2.90,0.00,0.00,0.00,0.00,0.00,0.00,12.89,65.00,7.96,66.00,6.35,13.88,7.96,6.35,4.14,4.64,111.00,10.63,8.00,7.00,58.00,0.00,7.25,8.29,87.50,65.00,9.29,5.00,12.00,0.00,0.80,0.70,5.80,0.00,0.00,2.63,0.33,29.48,41.33,45.00,1.29,0.00,0.00,0.00,0.00,8.00,100.00,87.50,0.00,0.00,0.00,0.00,0.00,1.00,12.50,75.00,1.00,62.22,0.32,35.56,3.06,2.22,0.00,40.00,0.00,60.00,2.15,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,2.00,4.44,1.50,43.00,95.56,1.28,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,-0.62,-0.50,-0.11,-11.60,0.02,-0.12,-5.00,100.00,0.00,-0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.36,0.00,0.00,0.00,66.00,6.35,2024
Braelon Allen 24,NYJ,RB,17.00,85.20,5.01,153.00,23.65,267.00,25.97,92.00,334.00,3.63,2.00,0.00,0.00,22.00,11.00,2.00,1.00,-11.36,-0.12,47.21,3.01,44.56,0.99,2.64,16.00,17.39,2.75,5.00,5.43,65.00,1.00,2.17,3.46,1.31,0.71,4.04,15.22,86.67,29.00,31.52,2.97,26.00,28.26,4.38,3.00,3.26,2.67,21.00,22.83,3.43,5.00,5.43,4.60,26.00,28.26,3.46,2.00,2.17,1.50,0.00,0.00,0.00,25.34,111.00,14.84,119.00,11.78,27.22,14.84,11.78,5.41,6.53,267.00,25.97,27.00,19.00,148.00,1.00,5.48,7.79,70.37,163.00,8.58,8.00,15.00,0.00,1.59,1.12,8.71,0.00,0.00,4.74,0.17,38.93,11.95,153.00,0.97,0.00,0.00,0.00,0.00,24.00,88.89,79.17,0.00,0.00,0.00,0.00,0.00,5.00,20.83,48.15,2.00,47.71,0.71,46.41,1.35,5.88,0.00,46.41,0.83,53.59,1.08,3.70,0.00,44.44,29.63,22.22,14.00,9.15,0.79,5.00,3.27,0.00,133.00,86.93,1.03,0.00,0.00,0.00,1.00,0.65,0.00,-5.00,-0.18,-0.29,-0.03,-29.60,0.06,-0.12,-19.00,380.00,14.00,-280.00,-4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,7.00,25.93,1.05,119.00,11.78,2024
