Player,Team,Position,Games,PPR Fantasy Points,PPR Fantasy Points Per Game,Routes Run,Route Participation Percent,Rushing Snap Count,Rushing Snap Percent,Rushing Attempts,Rushing Yards,Rushing Yards Per Carry,Rushing Touchdowns,Rushing Fumbles,Rushing Fumbles Lost,Rushing First Downs,Red Zone Rush Attempts,Goal Line Rush Attempts,Goal Line Rushing Touchdowns,Rushing EPA,Rushing EPA Per Attempt,Rushing DYAR,Rushing DVOA,Rushing Success Rate,Yards Before Contact,Yards After Contact,Avoided Tackles,Avoided Tackle Percent,Win Yards Per Attempt,Explosive Runs,Explosive Run Rate,Explosive Yards,Explosive Touchdowns,Juke Rate,Stacked Box Yards Per Attempt,Second Level Yards Per Attempt,Open Field Yards Per Attempt,Adjusted Line Yards Per Attempt,Stuffed Rate,Power Run Success Rate,Inside Zone Attempts,Inside Zone Percent,Inside Zone Yards Per Attempt,Outside Zone Attempts,Outside Zone Percent,Outside Zone Yards Per Attempt,Power Attempts,Power Percent,Power Yards Per Attempt,Man/Duo Attempts,Man/Duo Percent,Man/Duo Yards Per Attempt,Counter Attempts,Counter Percent,Counter Yards Per Attempt,Stacked Box Attempts,Stacked Box Percent,Stacked Box Run Yards Per Attempt,Designed Run Attempts,Designed Run Percent,Designed Run Yards Per Attempt,Scramble Attempts,Scramble Percent,Scramble Yards Per Attempt,Rushing Attempt Share,Touches,Touch Share,Rushing Opportunities,Rushing Opportunity Share,Team Rushing Attempt Share,Team Rushing Touch Share,Team Rushing Opportunity Share,Rushing Attempts Per Game,Touches Per Game,Receiving Snap Count,Receiving Snap Percent,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Target,Yards Per Reception,Catch Percent,Yards After Catch,Yards After Catch Per Reception,Receiving First Downs,Longest Reception,100 Plus Yard Games,Targets Per Game,Receptions Per Game,Receiving Yards Per Game,End Zone Targets,End Zone Touchdowns,Receiving EPA,Receiving EPA Per Target,Receiving DYAR,Receiving DVOA,Routes Run Efficiency,Yards Per Route Run,Explosive Receptions,Explosive Reception Rate,Explosive Receiving Yards,Explosive Receiving Touchdowns,Catchable Targets,Catchable Target Rate,Adjusted Catch Percent,Contested Targets,Contested Target Rate,Contested Receptions,Contested Catch Rate,Created Catches,Drops,Drop Rate,Receiving Success Rate,Forced Missed Tackles,Single-High Coverage Target Percent,Single-High Coverage Yards Per Route Run,Two-High Coverage Target Percent,Two-High Coverage Yards Per Route Run,Zero Coverage Target Percent,Zero Coverage Yards Per Route Run,Man Coverage Target Percent,Man Coverage Yards Per Route Run,Zone Coverage Target Percent,Zone Coverage Yards Per Route Run,Tight Coverage Percent,Step Coverage Rate,Open Target Percent,Wide Open Target Percent,Close Coverage Target Percent,Wide Alignment Routes,Wide Alignment Percent,Wide Alignment Yards Per Route Run,Slot Alignment Routes,Slot Alignment Percent,Slot Alignment Yards Per Route Run,Backfield Alignment Routes,Backfield Alignment Percent,Backfield Alignment Yards Per Route Run,Inline Alignment Routes,Inline Alignment Percent,Inline Alignment Yards Per Route Run,Off-Line Alignment Routes,Off-Line Alignment Percent,Off-Line Alignment Yards Per Route Run,Air Yards,Average Depth of Target,Air Yards Per Game,Air Yards Per Route Run,Receiver Air Conversion Ratio,Weighted Opportunity Rating,Team Air Yards Share,Catchable Air Yards,Catchable Air Yards Rate,Prayer Yards,Prayer Yard Rate,Dropped Air Yards,20 Plus Yard Targets,20 Plus Yard Catches,20 Plus Yard Catch Rate,20 Plus Target Percent,20 Plus Yard Receiving Yards,20 Plus Yard Receiving Touchdowns,Target Share,First Read Targets,First Read Target Rate,First Read Target Share,Receiving Opportunities,Receiving Opportunity Share
A.J. Brown,PHI,WR,15.00,220.30,14.69,443.00,83.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.00,76.16,121.00,78.00,1003.00,7.00,8.29,12.86,64.46,268.00,3.44,47.00,45.00,5.00,8.07,5.20,66.87,8.00,4.00,33.68,0.28,136.11,1.80,443.00,2.26,14.00,11.57,405.00,4.00,89.00,73.55,87.64,31.00,25.62,17.00,54.84,7.00,5.00,5.62,52.89,10.00,45.60,2.96,44.92,1.58,9.48,2.14,34.31,3.20,65.69,1.78,36.36,15.70,34.71,0.83,12.40,385.00,86.91,2.22,57.00,12.87,2.58,1.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1425.00,11.78,95.00,3.22,0.70,0.56,31.79,909.00,63.79,516.00,36.21,77.00,22.00,8.00,36.36,18.18,263.00,4.00,22.74,103.00,85.12,17.91,121.00,11.98
AJ Barner,SEA,TE,17.00,147.30,8.66,414.00,81.50,785.00,76.29,10.00,14.00,1.40,1.00,0.00,0.00,9.00,3.00,1.00,1.00,7.23,0.72,70.07,50.88,90.00,0.90,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,10.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,1.40,9.00,90.00,1.33,0.00,0.00,0.00,1.97,62.00,7.45,78.00,7.68,2.16,7.78,7.96,1.25,7.75,785.00,76.29,68.00,52.00,519.00,6.00,7.63,9.98,76.47,271.00,5.21,26.00,61.00,0.00,4.00,3.06,30.53,7.00,4.00,27.94,0.41,51.39,4.12,414.00,1.25,3.00,4.41,110.00,1.00,54.00,79.41,96.30,3.00,4.41,2.00,66.67,1.00,2.00,3.70,64.71,3.00,48.31,1.00,48.31,1.29,3.38,4.36,26.81,1.79,73.19,1.06,14.71,16.18,48.53,11.76,8.82,15.00,3.62,0.00,40.00,9.66,0.60,6.00,1.45,0.50,122.00,29.47,0.79,231.00,55.80,1.71,297.00,4.37,17.47,0.72,1.75,0.26,7.90,251.00,84.51,46.00,15.49,3.00,4.00,3.00,75.00,5.88,110.00,1.00,13.39,40.00,58.82,7.66,78.00,7.68
Aaron Jones,MIN,RB,12.00,120.70,10.06,205.00,37.68,360.00,36.66,132.00,548.00,4.15,2.00,0.00,0.00,28.00,14.00,3.00,1.00,-2.78,-0.02,4.87,-7.66,43.18,1.79,2.36,20.00,15.15,2.36,12.00,9.09,183.00,0.00,0.00,4.45,1.24,1.39,4.30,13.64,88.89,34.00,25.76,4.00,39.00,29.54,4.08,2.00,1.52,2.00,41.00,31.06,3.71,3.00,2.27,5.67,56.00,42.42,4.45,0.00,0.00,0.00,0.00,0.00,0.00,32.20,160.00,22.60,173.00,18.13,37.18,22.60,18.13,11.00,13.33,360.00,36.66,41.00,28.00,199.00,1.00,4.85,7.11,68.29,227.00,8.11,9.00,27.00,0.00,3.42,2.33,16.58,1.00,0.00,-7.55,-0.18,-11.67,-19.17,205.00,0.97,1.00,2.44,27.00,1.00,32.00,78.05,87.50,2.00,4.88,1.00,50.00,2.00,2.00,6.25,36.58,2.00,46.34,0.67,51.22,1.15,2.44,2.80,27.80,1.32,72.19,0.84,7.32,4.88,43.90,41.46,2.44,8.00,3.90,1.75,2.00,0.98,0.00,191.00,93.17,0.97,0.00,0.00,0.00,4.00,1.95,0.00,-25.00,-0.61,-2.08,-0.12,-7.96,0.11,-0.66,-22.00,88.00,-3.00,12.00,-2.00,1.00,1.00,100.00,2.44,27.00,1.00,7.54,8.00,19.51,1.40,173.00,18.13
Adam Thielen,PIT,WR,16.00,37.60,2.35,235.00,40.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.00,36.76,35.00,19.00,186.00,0.00,5.31,9.79,54.29,44.00,2.32,10.00,28.00,0.00,2.19,1.19,11.62,1.00,0.00,4.13,0.12,-33.32,-25.33,235.00,0.79,1.00,2.86,28.00,0.00,26.00,74.29,73.08,10.00,28.57,3.00,30.00,3.00,3.00,11.54,54.29,1.00,56.60,0.80,41.70,0.82,1.70,0.00,36.60,0.80,63.40,0.78,34.29,11.43,25.71,8.57,20.00,98.00,41.70,0.68,133.00,56.60,0.90,4.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,306.00,8.74,19.12,1.30,0.61,0.16,9.33,203.00,66.34,103.00,33.66,27.00,2.00,1.00,50.00,5.71,28.00,0.00,6.02,25.00,71.43,4.21,35.00,3.54
Adam Trautman,DEN,TE,17.00,45.50,2.68,269.00,42.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.00,53.10,23.00,20.00,195.00,1.00,8.48,9.75,86.96,104.00,5.20,11.00,26.00,0.00,1.35,1.18,11.47,1.00,1.00,10.79,0.47,41.07,19.69,269.00,0.72,3.00,13.04,69.00,0.00,20.00,86.96,100.00,1.00,4.35,1.00,100.00,0.00,0.00,0.00,65.22,3.00,47.58,0.85,49.44,0.63,2.97,0.25,20.82,0.77,79.18,0.71,13.04,4.35,56.52,13.04,13.04,17.00,6.32,0.59,61.00,22.68,0.84,7.00,2.60,1.71,71.00,26.39,1.45,113.00,42.01,0.17,106.00,4.61,6.24,0.39,1.84,0.07,2.36,91.00,85.85,15.00,14.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.62,14.00,60.87,2.08,23.00,2.11
Adonai Mitchell,NYJ,WR,16.00,90.30,5.64,292.00,52.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.00,44.89,74.00,33.00,453.00,2.00,6.12,13.73,44.60,80.00,2.42,16.00,75.00,1.00,4.62,2.06,28.31,7.00,2.00,-16.11,-0.22,-135.89,-36.59,292.00,1.55,6.00,8.11,224.00,1.00,40.00,54.05,82.50,17.00,22.97,4.00,23.53,4.00,4.00,10.00,35.14,1.00,51.71,1.71,45.89,1.41,2.40,0.86,22.26,1.23,77.74,1.64,44.60,6.76,25.68,6.76,16.22,237.00,81.16,1.77,55.00,18.84,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1102.00,14.89,68.88,3.77,0.41,0.43,32.37,464.00,42.10,638.00,57.90,63.00,19.00,4.00,21.05,25.68,172.00,1.00,13.36,64.00,86.49,10.48,75.00,7.43
Alec Pierce,IND,WR,15.00,183.30,12.22,450.00,78.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.00,74.02,84.00,47.00,1003.00,6.00,11.94,21.34,55.95,174.00,3.70,41.00,66.00,2.00,5.60,3.13,66.87,10.00,5.00,55.78,0.66,292.84,32.58,450.00,2.23,17.00,20.24,600.00,3.00,49.00,58.33,95.92,27.00,32.14,11.00,40.74,11.00,1.00,2.04,53.57,2.00,48.44,2.63,46.67,2.04,4.44,0.00,32.22,1.83,67.33,2.43,51.19,14.29,26.19,2.38,5.95,393.00,87.33,2.32,57.00,12.67,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1593.00,18.96,106.20,3.54,0.63,0.47,36.37,830.00,52.10,763.00,47.90,4.00,25.00,10.00,40.00,29.76,416.00,3.00,14.58,75.00,89.29,12.48,84.00,8.25
Allen Lazard,NYJ,WR,10.00,23.00,2.30,139.00,25.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.00,21.74,18.00,10.00,70.00,1.00,,,,,,,,,1.80,1.00,7.00,,,-9.66,-0.54,-45.14,-44.28,139.00,0.50,0.00,0.00,0.00,0.00,11.00,61.11,90.91,5.00,27.78,3.00,60.00,1.00,1.00,9.09,38.89,0.00,46.76,0.77,46.04,0.31,7.19,0.00,26.62,0.35,73.38,0.56,44.44,0.00,38.89,0.00,16.67,78.00,56.12,0.63,60.00,43.16,0.35,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.72,0.00,142.00,7.89,14.20,1.02,0.49,0.08,4.17,70.00,49.30,72.00,50.70,33.00,3.00,0.00,0.00,16.67,0.00,0.00,3.25,6.00,33.33,0.98,18.00,1.78
Alvin Kamara,NO,RB,11.00,104.70,9.52,267.00,41.72,433.00,38.97,131.00,471.00,3.60,1.00,1.00,1.00,21.00,15.00,2.00,0.00,-30.16,-0.23,-88.82,-24.57,32.06,1.20,2.40,33.00,25.19,2.45,10.00,7.63,136.00,1.00,3.05,3.23,0.91,1.04,3.66,14.50,50.00,40.00,30.53,3.82,33.00,25.19,3.73,15.00,11.45,3.13,35.00,26.72,2.94,3.00,2.29,12.00,43.00,32.82,3.23,0.00,0.00,0.00,0.00,0.00,0.00,30.12,164.00,19.71,170.00,15.81,42.67,19.71,15.81,11.91,14.91,433.00,38.97,39.00,33.00,186.00,0.00,4.77,5.64,84.62,202.00,6.12,7.00,26.00,0.00,3.54,3.00,16.91,0.00,0.00,-11.67,-0.30,-16.27,-21.72,267.00,0.70,2.00,5.13,48.00,0.00,36.00,92.31,91.67,5.00,12.82,3.00,60.00,0.00,2.00,5.56,33.33,4.00,42.32,0.45,54.68,0.92,2.62,0.00,26.22,0.43,73.41,0.80,7.69,7.69,33.33,30.77,20.51,16.00,5.99,1.75,9.00,3.37,0.00,237.00,88.76,0.64,0.00,0.00,0.00,5.00,1.87,1.40,33.00,0.85,3.00,0.12,5.64,0.10,0.69,-8.00,-24.24,41.00,124.24,5.00,1.00,0.00,0.00,2.56,0.00,0.00,6.09,8.00,20.51,1.18,170.00,15.81
Amon-Ra St. Brown,DET,WR,17.00,325.10,19.12,563.00,90.66,904.00,84.64,3.00,9.00,3.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.56,0.19,1.64,-29.47,33.33,0.67,2.33,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,66.67,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,120.00,14.35,175.00,16.46,0.71,14.69,16.76,1.50,60.00,904.00,84.64,172.00,117.00,1412.00,11.00,8.21,12.07,68.02,570.00,4.87,71.00,52.00,5.00,10.12,6.88,83.06,13.00,6.00,55.61,0.32,259.94,6.94,563.00,2.51,20.00,11.63,558.00,1.00,129.00,75.00,90.70,19.00,11.05,10.00,52.63,1.00,7.00,5.43,53.49,11.00,52.75,2.44,42.10,2.71,4.97,1.61,30.20,2.25,69.63,2.63,25.58,19.77,35.47,5.81,11.63,244.00,43.34,2.98,312.00,55.42,2.15,7.00,1.24,1.86,0.00,0.00,0.00,0.00,0.00,0.00,1390.00,8.08,81.76,2.47,1.02,0.68,37.24,946.00,68.06,444.00,31.94,61.00,8.00,3.00,37.50,4.65,80.00,0.00,27.70,141.00,81.98,22.52,175.00,16.46
