position,block,term,coef,p_value,n
DST,2016-2021,wind_over_10,0.05254125357515121,0.001132570047398444,2084
DST,2016-2021,gust_over_20,-0.02226301660532934,0.0013485636612436765,2084
DST,2016-2021,rain_any,0.02294053059010176,0.7079133211415511,2084
DST,2016-2021,rain_mm_h_avg,0.10179882967455647,0.04085429579376646,2084
DST,2016-2021,snow_any,0.20757354988052243,0.25767658696079354,2084
DST,2016-2021,snow_cm_h_avg,0.04154119076984136,0.9330690315284885,2084
DST,2016-2021,cold_10f,0.0027887364222206595,0.9116729652791692,2084
DST,2016-2021,heat_10f,-0.11048731635996772,0.7622778693853722,2084
DST,2022-2023,wind_over_10,-0.0183808836745041,0.40965295928998113,756
DST,2022-2023,gust_over_20,0.008204833024065933,0.49725483044671925,756
DST,2022-2023,rain_any,-0.04815831016164285,0.5465021149160327,756
DST,2022-2023,rain_mm_h_avg,0.14934104834304762,0.058495327459002454,756
DST,2022-2023,snow_any,0.0018822702089958676,0.9950430202769458,756
DST,2022-2023,snow_cm_h_avg,0.219358838771247,0.3268132604611208,756
DST,2022-2023,cold_10f,0.04241044658217485,0.23337609326475828,756
DST,2022-2023,heat_10f,0.012728978516249198,0.9761307149498358,756
DST,2024-2025,wind_over_10,0.01120651509199861,0.7162002276765191,716
DST,2024-2025,gust_over_20,0.0006512270667406207,0.9530948952381633,716
DST,2024-2025,rain_any,0.11225286282788222,0.3969480354294742,716
DST,2024-2025,rain_mm_h_avg,0.03776924385751505,0.6959375478421649,716
DST,2024-2025,snow_any,-0.7050001872146409,4.6696330125817946e-05,716
DST,2024-2025,snow_cm_h_avg,-0.03138794068563178,0.9659792306213525,716
DST,2024-2025,cold_10f,0.08309551856132677,0.06579340357447216,716
DST,2024-2025,heat_10f,0.2962520732205246,0.08146513230542109,716
K,2016-2021,wind_over_10,-0.016836687732991608,0.12359854057750734,2148
K,2016-2021,gust_over_20,0.000469839762538102,0.9179005824823872,2148
K,2016-2021,rain_any,-0.051645927038227867,0.23194597025288222,2148
K,2016-2021,rain_mm_h_avg,0.012476404246928051,0.7149137730040994,2148
K,2016-2021,snow_any,-0.08937915575857934,0.4598480908074182,2148
K,2016-2021,snow_cm_h_avg,0.01484539106421029,0.9674499610214591,2148
K,2016-2021,cold_10f,-0.03466755358523487,0.029267346757569708,2148
K,2016-2021,heat_10f,-0.06554488989214463,0.7845138889883346,2148
K,2022-2023,wind_over_10,0.008830206542184669,0.6068386601380642,754
K,2022-2023,gust_over_20,-0.015565346027443161,0.08112549841923135,754
K,2022-2023,rain_any,0.0021537434678432737,0.9729051738136048,754
K,2022-2023,rain_mm_h_avg,-0.0014592537734400277,0.9748104947877742,754
K,2022-2023,snow_any,0.020845899642976857,0.8581284528400709,754
K,2022-2023,snow_cm_h_avg,0.061000468468050906,0.41256090800109935,754
K,2022-2023,cold_10f,-0.04233685946491994,0.12207520170574461,754
K,2022-2023,heat_10f,0.03269368881241547,0.7950022070049878,754
K,2024-2025,wind_over_10,0.01608936125230009,0.4365722262261561,714
K,2024-2025,gust_over_20,-0.006575018411235487,0.4612103968320077,714
K,2024-2025,rain_any,-0.026849596363798984,0.7044240560374808,714
K,2024-2025,rain_mm_h_avg,-0.045552571293116594,0.08325742615887924,714
K,2024-2025,snow_any,-0.08562470676335422,0.48998179403946907,714
K,2024-2025,snow_cm_h_avg,-0.8593563854550343,0.05973329257130106,714
K,2024-2025,cold_10f,-0.04900551720035707,0.03270177247343476,714
K,2024-2025,heat_10f,0.10412022610836795,0.4511045568294809,714
QB,2016-2021,wind_over_10,-0.01490740899581978,0.13467419787000715,2151
QB,2016-2021,gust_over_20,0.0018900316519324472,0.6554785371238752,2151
QB,2016-2021,rain_any,-0.03266299555858646,0.3882985151759212,2151
QB,2016-2021,rain_mm_h_avg,-0.0830858200584806,0.001877797112122632,2151
QB,2016-2021,snow_any,-0.07358390753423462,0.5056195976677704,2151
QB,2016-2021,snow_cm_h_avg,0.05231839120180431,0.8724147038037406,2151
QB,2016-2021,cold_10f,-0.04017623054669393,0.00469937599391285,2151
QB,2016-2021,heat_10f,0.09545061880318827,0.6532283790124618,2151
QB,2022-2023,wind_over_10,-0.00978154197930817,0.538491585556288,756
QB,2022-2023,gust_over_20,-0.004002904909189045,0.5776541177777201,756
QB,2022-2023,rain_any,-0.020495961758585375,0.7231870153419973,756
QB,2022-2023,rain_mm_h_avg,-0.031294325312320834,0.4068716756985361,756
QB,2022-2023,snow_any,0.003140811743322966,0.9806526265613154,756
QB,2022-2023,snow_cm_h_avg,-0.3832257931239555,8.644245976671396e-07,756
QB,2022-2023,cold_10f,-0.040247888644663374,0.07571455235389123,756
QB,2022-2023,heat_10f,0.2290360042299924,0.2725054500168128,756
QB,2024-2025,wind_over_10,-0.01290411783968517,0.4342165824677837,716
QB,2024-2025,gust_over_20,-0.002241635343906138,0.7115628400732331,716
QB,2024-2025,rain_any,-0.014489029089495283,0.8285311215366709,716
QB,2024-2025,rain_mm_h_avg,-0.016062993806768143,0.6870620152059139,716
QB,2024-2025,snow_any,0.24509998531251956,0.10493480327553824,716
QB,2024-2025,snow_cm_h_avg,0.44934769516914413,0.5957370679699605,716
QB,2024-2025,cold_10f,-0.054907184311413185,0.0027723334102060875,716
QB,2024-2025,heat_10f,-0.007532288287688135,0.8977042037559415,716
RB,2016-2021,wind_over_10,-0.00706981486387683,0.3644585088563823,2156
RB,2016-2021,gust_over_20,0.005842254755779113,0.07241009161640148,2156
RB,2016-2021,rain_any,0.0010759934810927376,0.9740658651668523,2156
RB,2016-2021,rain_mm_h_avg,-0.001959618236233904,0.9543578839431353,2156
RB,2016-2021,snow_any,0.0010401201327368131,0.9918204882825531,2156
RB,2016-2021,snow_cm_h_avg,-0.0815620521197126,0.6766793038545346,2156
RB,2016-2021,cold_10f,-0.013979717703430717,0.20266888554315077,2156
RB,2016-2021,heat_10f,-0.09573451917790379,0.37273832504067117,2156
RB,2022-2023,wind_over_10,0.012227076398361951,0.4582349240436291,756
RB,2022-2023,gust_over_20,-0.012091481367319277,0.1677899360100703,756
RB,2022-2023,rain_any,-0.019070363587061594,0.6990910106612471,756
RB,2022-2023,rain_mm_h_avg,-0.02915152334390128,0.2746665265562378,756
RB,2022-2023,snow_any,0.1692615313477714,0.29995870825866344,756
RB,2022-2023,snow_cm_h_avg,-0.09502373268044301,0.3877870776344484,756
RB,2022-2023,cold_10f,-0.015430849271942455,0.3597772672738776,756
RB,2022-2023,heat_10f,0.08308086908842291,0.5525930567341367,756
RB,2024-2025,wind_over_10,-0.0012714284599846348,0.9346069050894132,716
RB,2024-2025,gust_over_20,0.003542507208370258,0.49696308081473695,716
RB,2024-2025,rain_any,-0.0018575406131373113,0.9726612269913063,716
RB,2024-2025,rain_mm_h_avg,-0.01713674310170187,0.5864376793631374,716
RB,2024-2025,snow_any,0.07297291284766766,0.6095049593330868,716
RB,2024-2025,snow_cm_h_avg,1.2868958049348795,0.06928784743913126,716
RB,2024-2025,cold_10f,-0.013780332894468427,0.31956799775995337,716
RB,2024-2025,heat_10f,-0.18802821433762498,0.09206085754338862,716
TE,2016-2021,wind_over_10,-0.021894552899098165,0.122046596174149,2146
TE,2016-2021,gust_over_20,-0.0009552411319881019,0.8876018002067978,2146
TE,2016-2021,rain_any,-0.05641499407892157,0.2492826461899016,2146
TE,2016-2021,rain_mm_h_avg,-0.03615609168951667,0.3461668784024362,2146
TE,2016-2021,snow_any,0.1794366656328124,0.4530468522659622,2146
TE,2016-2021,snow_cm_h_avg,-0.4152098060185423,0.3497553315088844,2146
TE,2016-2021,cold_10f,-0.03927325379111856,0.03510844235700761,2146
TE,2016-2021,heat_10f,0.07183839857956036,0.8007532122906361,2146
TE,2022-2023,wind_over_10,-0.030004463982622,0.15671361210374227,754
TE,2022-2023,gust_over_20,0.0057556312819954415,0.6121033923712375,754
TE,2022-2023,rain_any,-0.1380950003462993,0.08756879507843794,754
TE,2022-2023,rain_mm_h_avg,0.014892475222988037,0.7442077836527667,754
TE,2022-2023,snow_any,0.29663751725902526,0.18471095608141774,754
TE,2022-2023,snow_cm_h_avg,-0.5245372551147766,3.416900687385773e-05,754
TE,2022-2023,cold_10f,-0.03834256909674547,0.20778356502190243,754
TE,2022-2023,heat_10f,-0.24843251476678682,0.10809532854346475,754
TE,2024-2025,wind_over_10,-0.033120896309106855,0.03519564818559925,714
TE,2024-2025,gust_over_20,0.0017511554112221645,0.8137349926688887,714
TE,2024-2025,rain_any,-0.06759129948607244,0.3923008487404771,714
TE,2024-2025,rain_mm_h_avg,0.018975786708518513,0.7737014537118324,714
TE,2024-2025,snow_any,0.10572361740873158,0.6745799033945683,714
TE,2024-2025,snow_cm_h_avg,1.0760045013856514,0.3738310062940873,714
TE,2024-2025,cold_10f,-0.06036942654059732,0.05438384577738906,714
TE,2024-2025,heat_10f,-0.06354553939347088,0.8152676855594242,714
WR,2016-2021,wind_over_10,-0.011900458416095073,0.08557829441124622,2156
WR,2016-2021,gust_over_20,-0.0015833162104970345,0.6172780617353995,2156
WR,2016-2021,rain_any,0.016155296791182893,0.5955383094061926,2156
WR,2016-2021,rain_mm_h_avg,-0.07142059073892759,0.0015151386204664522,2156
WR,2016-2021,snow_any,-0.1247215213475326,0.07902427306102415,2156
WR,2016-2021,snow_cm_h_avg,0.10112240604264253,0.7086826396612937,2156
WR,2016-2021,cold_10f,-0.024003091256767375,0.049817951709466055,2156
WR,2016-2021,heat_10f,0.22278407376584752,0.266156114804159,2156
WR,2022-2023,wind_over_10,-0.002149256423079865,0.8722693272251133,756
WR,2022-2023,gust_over_20,-0.008295150125845207,0.2476761863660648,756
WR,2022-2023,rain_any,0.028756971971343373,0.5876031813635254,756
WR,2022-2023,rain_mm_h_avg,-0.030950722233185526,0.3526998930295744,756
WR,2022-2023,snow_any,-0.027296592571361404,0.835986334610779,756
WR,2022-2023,snow_cm_h_avg,-0.20705759173693689,0.012001265849562522,756
WR,2022-2023,cold_10f,-0.03189438848121794,0.128861010547879,756
WR,2022-2023,heat_10f,0.10101802735999099,0.2909438098736713,756
WR,2024-2025,wind_over_10,0.002943735612775197,0.8082911805694899,716
WR,2024-2025,gust_over_20,-0.0037602702384276444,0.5118257279408418,716
WR,2024-2025,rain_any,-0.0036179660732866617,0.94755725734894,716
WR,2024-2025,rain_mm_h_avg,-0.05851892792322754,0.08312135595950366,716
WR,2024-2025,snow_any,-0.051674746812705355,0.6756536149451643,716
WR,2024-2025,snow_cm_h_avg,-0.19807780752369974,0.6388206245799135,716
WR,2024-2025,cold_10f,-0.034196547237490466,0.03727247252442655,716
WR,2024-2025,heat_10f,-0.08595137702443591,0.23942488284881924,716
