position,weather_variable,outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p
DST,temperature_f_avg,fantasy_points,3556,-0.0012062468749542703,0.942676795370608,-0.007942666489688445,0.6358709998298147
DST,temperature_f_avg,residual_points,3556,0.006949067129917679,0.6786928468233536,0.004492339667242808,0.7888568940786879
DST,temperature_f_avg,residual_pct,3556,0.006237103700217955,0.7100379610788538,0.005357286601172919,0.7494559706034528
DST,wind_speed_mph_avg,fantasy_points,3556,0.033480566659322634,0.04589281777132349,0.03974532017790552,0.01777825590995727
DST,wind_speed_mph_avg,residual_points,3556,0.029152933626549044,0.08217347039239226,0.036684382784802384,0.02870328322763428
DST,wind_speed_mph_avg,residual_pct,3556,0.03217172462397008,0.05507387530569764,0.04155129038344774,0.013212332524508244
DST,wind_gust_mph_max,fantasy_points,3556,0.022802455709639055,0.1740010519771862,0.0335728450957786,0.0452972892841801
DST,wind_gust_mph_max,residual_points,3556,0.02018436373122269,0.22884572465984176,0.03480458479560597,0.037951957314888804
DST,wind_gust_mph_max,residual_pct,3556,0.019228623295895295,0.2516511600658535,0.03718499824109602,0.026595037136137853
DST,rain_mm_h_avg,fantasy_points,3556,0.0494458311958673,0.0031846230302991258,0.0463738767380623,0.005676727226258023
DST,rain_mm_h_avg,residual_points,3556,0.046736175327244944,0.005311242376305108,0.03977291362718641,0.017699217653532447
DST,rain_mm_h_avg,residual_pct,3556,0.046304963352375085,0.005748760510106065,0.038892991622008016,0.020376771064312137
DST,snow_cm_h_avg,fantasy_points,3556,0.01325308709832595,0.42948825409826874,0.0023241349111544365,0.889809902804553
DST,snow_cm_h_avg,residual_points,3556,0.02641612633895176,0.11526270219952982,0.02023541955109943,0.22767024048929593
DST,snow_cm_h_avg,residual_pct,3556,0.022892074740371145,0.17231471858550576,0.01626501902198974,0.3322249189287725
K,temperature_f_avg,fantasy_points,3616,0.058464885232882874,0.0004356764187706071,0.05632862037458587,0.0007021484069164404
K,temperature_f_avg,residual_points,3616,0.059789446993376905,0.0003215311565557048,0.057390107213519066,0.000555000580931098
K,temperature_f_avg,residual_pct,3616,0.06152920554484578,0.0002137583892028725,0.055659477383375594,0.0008127367360429068
K,wind_speed_mph_avg,fantasy_points,3616,-0.08333412200821404,5.217312111701505e-07,-0.07594216154018955,4.8385729199912135e-06
K,wind_speed_mph_avg,residual_points,3616,-0.07647101019838659,4.152546727553209e-06,-0.07104144406876634,1.9038854468714286e-05
K,wind_speed_mph_avg,residual_pct,3616,-0.06598716987724915,7.157905049281044e-05,-0.06746095242516545,4.9101146321253504e-05
K,wind_gust_mph_max,fantasy_points,3616,-0.07290880281336962,1.141015463150789e-05,-0.06225009922959795,0.00017993776306407473
K,wind_gust_mph_max,residual_points,3616,-0.06658039560856374,6.15590935305296e-05,-0.05606807577062391,0.0007434322983857094
K,wind_gust_mph_max,residual_pct,3616,-0.05578277655211018,0.0007912165666335873,-0.05227931938004058,0.001662085680017816
K,rain_mm_h_avg,fantasy_points,3616,-0.028645077119560852,0.08501924644899476,-0.02519308371819593,0.12985929296330934
K,rain_mm_h_avg,residual_points,3616,-0.019034556929938967,0.2524924157186364,-0.010840208650058126,0.5146269527694447
K,rain_mm_h_avg,residual_pct,3616,-0.013247595357182571,0.4258114151242438,-0.012078453536840013,0.4677828302193551
K,snow_cm_h_avg,fantasy_points,3616,-0.041312247738379715,0.012975582528326882,-0.058442277812172254,0.0004379183965506331
K,snow_cm_h_avg,residual_points,3616,-0.02700140519312816,0.10450069831095289,-0.049222136660856716,0.0030698549119407815
K,snow_cm_h_avg,residual_pct,3616,-0.025949185392670493,0.11872907533592567,-0.047959202369102796,0.003919083080055619
QB,temperature_f_avg,fantasy_points,3623,0.0634636522196382,0.00013210601680354244,0.060303313184520264,0.0002814606775133071
QB,temperature_f_avg,residual_points,3623,0.09303180549217725,2.0238718245173756e-08,0.08367357910841748,4.57009609795531e-07
QB,temperature_f_avg,residual_pct,3623,0.08821830129251529,1.0461531847034868e-07,0.08092108557765719,1.0767373969989287e-06
QB,wind_speed_mph_avg,fantasy_points,3623,-0.0880441299328495,1.1084832923491783e-07,-0.08216324711207819,7.338453907485344e-07
QB,wind_speed_mph_avg,residual_points,3623,-0.08356321667881707,4.732326662369088e-07,-0.06574179559438251,7.494757342744101e-05
QB,wind_speed_mph_avg,residual_pct,3623,-0.08356470717165378,4.730099130843186e-07,-0.0688169059921227,3.388229108612475e-05
QB,wind_gust_mph_max,fantasy_points,3623,-0.07381884984479704,8.675712182162382e-06,-0.07468241606797467,6.7963019067670124e-06
QB,wind_gust_mph_max,residual_points,3623,-0.07067953320864166,2.0612084232887492e-05,-0.05810026783226046,0.00046721122595819766
QB,wind_gust_mph_max,residual_pct,3623,-0.07117577984470475,1.8018539929306206e-05,-0.0605777478818924,0.00026393031693285876
QB,rain_mm_h_avg,fantasy_points,3623,-0.07187459023885137,1.4888081466994448e-05,-0.06536620334571232,8.239180610803443e-05
QB,rain_mm_h_avg,residual_points,3623,-0.0686290129626587,3.5600218978667886e-05,-0.06288032548721809,0.0001522965846116157
QB,rain_mm_h_avg,residual_pct,3623,-0.06109503205756006,0.0002336352480623611,-0.06539846035762403,8.172602260086937e-05
QB,snow_cm_h_avg,fantasy_points,3623,-0.04442526693921641,0.007485976791625809,-0.028690170631992057,0.08422875524916382
QB,snow_cm_h_avg,residual_points,3623,-0.031678774728387045,0.05657122658653858,-0.03410072135377948,0.040125225503226926
QB,snow_cm_h_avg,residual_pct,3623,-0.03809780364023559,0.021836501861888114,-0.03560889051711627,0.032090005742521806
