game_id,team,fantasy_points,position,season,week,home_team,away_team,stadium,roof,temperature_f_avg,temperature_f_kickoff,wind_speed_mph_avg,wind_speed_mph_max,wind_gust_mph_avg,wind_gust_mph_max,rain_mm_h_avg,rain_mm_h_max,rain_total_mm_4h,snow_cm_h_avg,snow_cm_h_max,snow_total_cm_4h,home,opponent,expected_fp,opp_allowed_expected,residual_points,denom,residual_pct,gust_excess_mph,wind_over_10,gust_over_20,cold_10f,heat_10f,rain_any,snow_any
2016_16_ARI_SEA,ARI,5.0,DST,2016,16,SEA,ARI,CenturyLink Field,outdoors,39.325,39.8,2.8,3.5,9.8,10.5,0.025,0.1,0.1,0.0,0.0,0.0,0,SEA,3.997084548104956,7.1995415817829755,1.0029154518950438,4.0,0.25072886297376096,7.7,0.0,0.0,1.5674999999999997,0.0,0,0
2016_17_ARI_LA,ARI,24.0,DST,2016,17,LA,ARI,Los Angeles Memorial Coliseum,outdoors,56.075,56.2,6.299999999999999,7.3,12.925,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0,LA,4.283631820074969,10.337082895560677,19.71636817992503,4.283631820074969,4.602722411278561,7.600000000000001,0.0,0.0,0.0,0.0,0,0
2017_05_ARI_PHI,ARI,2.0,DST,2017,5,PHI,ARI,Lincoln Financial Field,outdoors,76.0,75.6,10.175,10.8,20.0,22.1,0.24999999999999997,0.4,0.9999999999999999,0.0,0.0,0.0,0,PHI,9.91687987148212,4.125591203852973,-7.91687987148212,9.91687987148212,-0.7983236637007793,11.925,0.1750000000000007,2.1000000000000014,0.0,0.0,1,0
2017_07_ARI_LA,ARI,2.0,DST,2017,7,LA,ARI,Twickenham Stadium,outdoors,51.85,52.6,12.25,13.0,24.175,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0,LA,7.6549141939158,5.260214028535182,-5.6549141939158,7.6549141939158,-0.7387299257267156,13.05,2.25,5.300000000000001,0.31499999999999984,0.0,0,0
2017_09_ARI_SF,ARI,11.0,DST,2017,9,SF,ARI,Levi's Stadium,outdoors,59.45,59.6,8.275,10.0,16.725,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0,SF,6.039224424225571,9.955559907447388,4.960775575774429,6.039224424225571,0.8214259360647232,9.825000000000001,0.0,0.0,0.0,0.0,0,0
2017_10_SEA_ARI,ARI,5.0,DST,2017,10,ARI,SEA,University of Phoenix Stadium,open,73.975,77.5,4.45,4.8,7.275,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1,SEA,7.456588874446837,4.028396913669415,-2.4565888744468367,7.456588874446837,-0.3294521014649715,4.05,0.0,0.0,0.0,0.0,0,0
2017_15_ARI_WAS,ARI,2.0,DST,2017,15,WAS,ARI,FedExField,outdoors,46.575,49.6,2.775,4.8,5.8500000000000005,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,WAS,6.754706338890598,8.098581837094155,-4.754706338890598,6.754706338890598,-0.703910148027474,5.025,0.0,0.0,0.8424999999999997,0.0,0,0
2017_17_ARI_SEA,ARI,3.0,DST,2017,17,SEA,ARI,CenturyLink Field,outdoors,42.2,43.3,9.375,9.7,18.275,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0,SEA,5.3962188134932845,6.373430303496711,-2.3962188134932845,5.3962188134932845,-0.44405516090294966,9.425,0.0,0.0,1.2799999999999998,0.0,0,0
2018_02_ARI_LA,ARI,3.0,DST,2018,2,LA,ARI,Los Angeles Memorial Coliseum,outdoors,81.79999999999998,84.1,11.749999999999998,13.4,22.325000000000003,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0,LA,4.7115848667809175,2.603103403724874,-1.7115848667809175,4.7115848667809175,-0.3632715774363879,12.65,1.7499999999999982,4.399999999999999,0.0,0.0,0,0
2018_05_ARI_SF,ARI,9.0,DST,2018,5,SF,ARI,Levi's Stadium,outdoors,79.42500000000001,78.5,13.2,14.2,23.275,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0,SF,4.222560619129227,4.548125470352858,4.777439380870773,4.222560619129227,1.1314081221777637,11.2,3.1999999999999993,4.399999999999999,0.0,0.0,0,0
2018_10_ARI_KC,ARI,5.0,DST,2018,10,KC,ARI,Arrowhead Stadium,outdoors,44.574999999999996,43.4,3.6500000000000004,4.5,10.925,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0,KC,5.587543299378019,0.8882240674452798,-0.5875432993780194,5.587543299378019,-0.10515234833946112,8.65,0.0,0.0,1.0425000000000004,0.0,0,0
2018_12_ARI_LAC,ARI,0.0,DST,2018,12,LAC,ARI,StubHub Center,outdoors,70.89999999999999,70.5,4.175,6.2,9.775,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0,LAC,5.419673785270014,4.338121704648839,-5.419673785270014,5.419673785270014,-1.0,7.425,0.0,0.0,0.0,0.0,0,0
2018_13_ARI_GB,ARI,2.0,DST,2018,13,GB,ARI,Lambeau Field,outdoors,33.425,33.5,15.899999999999999,16.5,31.599999999999998,32.0,0.0,0.0,0.0,0.22749999999999998,0.35,0.9099999999999999,0,GB,3.871195560907153,3.516143646200805,-1.8711955609071529,4.0,-0.4677988902267882,16.1,5.899999999999999,12.0,2.1575,0.0,0,1
2018_17_ARI_SEA,ARI,14.0,DST,2018,17,SEA,ARI,CenturyLink Field,outdoors,44.125,45.0,3.925,5.5,16.275,17.4,0.2,0.6,0.8,0.0,0.0,0.0,0,SEA,3.336568257790823,3.0910782275345703,10.663431742209177,4.0,2.6658579355522942,13.474999999999998,0.0,0.0,1.0875,0.0,1,0
2019_02_ARI_BAL,ARI,2.0,DST,2019,2,BAL,ARI,M&T Bank Stadium,outdoors,83.85,81.8,1.4,1.7,9.45,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0,BAL,6.383263041279159,1.0824085212873702,-4.383263041279159,6.383263041279159,-0.6866806228935829,10.2,0.0,0.0,0.0,0.0,0,0
2019_05_ARI_CIN,ARI,1.0,DST,2019,5,CIN,ARI,Paul Brown Stadium,outdoors,77.77499999999999,76.7,7.025,8.8,24.400000000000002,29.1,0.07500000000000001,0.2,0.30000000000000004,0.0,0.0,0.0,0,CIN,5.130902172342257,9.32102103200027,-4.130902172342257,5.130902172342257,-0.8051025011955159,22.075000000000003,0.0,9.100000000000001,0.0,0.0,1,0
2019_07_ARI_NYG,ARI,10.0,DST,2019,7,NYG,ARI,MetLife Stadium,outdoors,57.375,58.3,5.325,6.5,10.55,11.6,1.475,1.9,5.9,0.0,0.0,0.0,0,NYG,3.9506444088158976,8.297166402876872,6.049355591184103,4.0,1.5123388977960257,6.2749999999999995,0.0,0.0,0.0,0.0,1,0
2019_10_ARI_TB,ARI,7.0,DST,2019,10,TB,ARI,Raymond James Stadium,outdoors,76.625,76.3,7.450000000000001,7.9,15.025,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0,TB,5.679031720582784,6.762492633190392,1.3209682794172162,5.679031720582784,0.23260449041507697,8.85,0.0,0.0,0.0,0.0,0,0
2019_11_ARI_SF,ARI,2.0,DST,2019,11,SF,ARI,Levi's Stadium,outdoors,75.975,75.3,7.824999999999999,9.1,15.6,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0,SF,6.056451228987703,4.976150650475103,-4.056451228987703,6.056451228987703,-0.6697736142202391,8.275000000000002,0.0,0.0,0.0,0.0,0,0
