game_id,season,week,gameday,gametime,away_team,home_team,away_score,home_score,stadium_id,stadium,roof,temp,wind,location
2016_01_BUF_BAL,2016,1,2016-09-11,13:00,BUF,BAL,7,13,BAL00,M&T Bank Stadium,outdoors,84.0,8.0,Home
2016_01_CAR_DEN,2016,1,2016-09-08,20:30,CAR,DEN,20,21,DEN00,Sports Authority Field at Mile High,outdoors,85.0,10.0,Home
2016_01_CIN_NYJ,2016,1,2016-09-11,13:00,CIN,NYJ,23,22,NYC01,MetLife Stadium,outdoors,79.0,17.0,Home
2016_01_CLE_PHI,2016,1,2016-09-11,13:00,CLE,PHI,10,29,PHI00,Lincoln Financial Field,outdoors,85.0,14.0,Home
2016_01_DET_IND,2016,1,2016-09-11,16:25,DET,IND,39,35,IND00,Lucas Oil Stadium,open,,,Home
2016_01_GB_JAX,2016,1,2016-09-11,13:00,GB,JAX,27,23,JAX00,EverBank Field,outdoors,90.0,3.0,Home
2016_01_LA_SF,2016,1,2016-09-12,22:20,LA,SF,0,28,SFO01,Levi's Stadium,outdoors,66.0,17.0,Home
2016_01_MIA_SEA,2016,1,2016-09-11,16:05,MIA,SEA,10,12,SEA00,CenturyLink Field,outdoors,61.0,2.0,Home
2016_01_MIN_TEN,2016,1,2016-09-11,13:00,MIN,TEN,25,16,NAS00,Nissan Stadium,outdoors,76.0,5.0,Home
2016_01_PIT_WAS,2016,1,2016-09-12,19:10,PIT,WAS,38,16,WAS00,FedExField,outdoors,79.0,4.0,Home
2016_01_SD_KC,2016,1,2016-09-11,13:00,SD,KC,27,33,KAN00,Arrowhead Stadium,outdoors,74.0,9.0,Home
2016_02_ATL_OAK,2016,2,2016-09-18,16:25,ATL,OAK,35,28,OAK00,Oakland-Alameda County Coliseum,outdoors,79.0,7.0,Home
2016_02_BAL_CLE,2016,2,2016-09-18,13:00,BAL,CLE,25,20,CLE00,FirstEnergy Stadium,outdoors,74.0,7.0,Home
2016_02_CIN_PIT,2016,2,2016-09-18,13:00,CIN,PIT,16,24,PIT00,Heinz Field,outdoors,72.0,4.0,Home
2016_02_DAL_WAS,2016,2,2016-09-18,13:00,DAL,WAS,27,23,WAS00,FedExField,outdoors,81.0,6.0,Home
2016_02_IND_DEN,2016,2,2016-09-18,16:25,IND,DEN,20,34,DEN00,Sports Authority Field at Mile High,outdoors,85.0,4.0,Home
2016_02_JAX_SD,2016,2,2016-09-18,16:25,JAX,SD,14,38,SDG00,Qualcomm Stadium,outdoors,82.0,7.0,Home
2016_02_MIA_NE,2016,2,2016-09-18,13:00,MIA,NE,24,31,BOS00,Gillette Stadium,outdoors,79.0,10.0,Home
2016_02_NO_NYG,2016,2,2016-09-18,13:00,NO,NYG,13,16,NYC01,MetLife Stadium,outdoors,80.0,5.0,Home
2016_02_NYJ_BUF,2016,2,2016-09-15,20:25,NYJ,BUF,37,31,BUF00,New Era Field,outdoors,60.0,11.0,Home
2016_02_PHI_CHI,2016,2,2016-09-19,20:30,PHI,CHI,29,14,CHI98,Soldier Field,outdoors,84.0,5.0,Home
2016_02_SEA_LA,2016,2,2016-09-18,16:05,SEA,LA,3,9,LAX99,Los Angeles Memorial Coliseum,outdoors,88.0,3.0,Home
2016_02_SF_CAR,2016,2,2016-09-18,13:00,SF,CAR,27,46,CAR00,Bank of America Stadium,outdoors,82.0,4.0,Home
2016_03_ARI_BUF,2016,3,2016-09-25,13:00,ARI,BUF,18,33,BUF00,New Era Field,outdoors,64.0,8.0,Home
2016_03_BAL_JAX,2016,3,2016-09-25,13:00,BAL,JAX,19,17,JAX00,EverBank Field,outdoors,88.0,8.0,Home
2016_03_CLE_MIA,2016,3,2016-09-25,13:00,CLE,MIA,24,30,MIA00,Hard Rock Stadium,outdoors,86.0,16.0,Home
2016_03_DEN_CIN,2016,3,2016-09-25,13:00,DEN,CIN,29,17,CIN00,Paul Brown Stadium,outdoors,81.0,3.0,Home
2016_03_DET_GB,2016,3,2016-09-25,13:00,DET,GB,27,34,GNB00,Lambeau Field,outdoors,72.0,17.0,Home
2016_03_HOU_NE,2016,3,2016-09-22,20:25,HOU,NE,0,27,BOS00,Gillette Stadium,outdoors,68.0,4.0,Home
2016_03_LA_TB,2016,3,2016-09-25,16:05,LA,TB,37,32,TAM00,Raymond James Stadium,outdoors,91.0,4.0,Home
2016_03_MIN_CAR,2016,3,2016-09-25,13:00,MIN,CAR,22,10,CAR00,Bank of America Stadium,outdoors,80.0,0.0,Home
2016_03_NYJ_KC,2016,3,2016-09-25,16:25,NYJ,KC,3,24,KAN00,Arrowhead Stadium,outdoors,65.0,9.0,Home
2016_03_OAK_TEN,2016,3,2016-09-25,13:00,OAK,TEN,17,10,NAS00,Nissan Stadium,outdoors,89.0,2.0,Home
2016_03_PIT_PHI,2016,3,2016-09-25,16:25,PIT,PHI,3,34,PHI00,Lincoln Financial Field,outdoors,73.0,7.0,Home
2016_03_SF_SEA,2016,3,2016-09-25,16:05,SF,SEA,18,37,SEA00,CenturyLink Field,outdoors,66.0,6.0,Home
2016_03_WAS_NYG,2016,3,2016-09-25,13:00,WAS,NYG,29,27,NYC01,MetLife Stadium,outdoors,67.0,2.0,Home
2016_04_BUF_NE,2016,4,2016-10-02,13:00,BUF,NE,16,0,BOS00,Gillette Stadium,outdoors,56.0,7.0,Home
2016_04_CLE_WAS,2016,4,2016-10-02,13:00,CLE,WAS,20,31,WAS00,FedExField,outdoors,67.0,1.0,Home
2016_04_DAL_SF,2016,4,2016-10-02,16:25,DAL,SF,24,17,SFO01,Levi's Stadium,outdoors,68.0,10.0,Home
2016_04_DEN_TB,2016,4,2016-10-02,16:05,DEN,TB,27,7,TAM00,Raymond James Stadium,outdoors,88.0,7.0,Home
2016_04_DET_CHI,2016,4,2016-10-02,13:00,DET,CHI,14,17,CHI98,Soldier Field,outdoors,62.0,6.0,Home
2016_04_IND_JAX,2016,4,2016-10-02,09:30,IND,JAX,27,30,LON00,Wembley Stadium,outdoors,59.0,7.0,Neutral
2016_04_KC_PIT,2016,4,2016-10-02,20:30,KC,PIT,14,43,PIT00,Heinz Field,outdoors,59.0,6.0,Home
2016_04_MIA_CIN,2016,4,2016-09-29,20:25,MIA,CIN,7,22,CIN00,Paul Brown Stadium,outdoors,62.0,2.0,Home
2016_04_NO_SD,2016,4,2016-10-02,16:25,NO,SD,35,34,SDG00,Qualcomm Stadium,outdoors,74.0,8.0,Home
2016_04_OAK_BAL,2016,4,2016-10-02,13:00,OAK,BAL,28,27,BAL00,M&T Bank Stadium,outdoors,65.0,2.0,Home
2016_04_SEA_NYJ,2016,4,2016-10-02,13:00,SEA,NYJ,27,17,NYC01,MetLife Stadium,outdoors,61.0,0.0,Home
2016_05_ARI_SF,2016,5,2016-10-06,20:25,ARI,SF,33,21,SFO01,Levi's Stadium,outdoors,75.0,16.0,Home
2016_05_ATL_DEN,2016,5,2016-10-09,16:05,ATL,DEN,23,16,DEN00,Sports Authority Field at Mile High,outdoors,72.0,5.0,Home
2016_05_BUF_LA,2016,5,2016-10-09,16:25,BUF,LA,30,19,LAX99,Los Angeles Memorial Coliseum,outdoors,91.0,5.0,Home
2016_05_CHI_IND,2016,5,2016-10-09,13:00,CHI,IND,23,29,IND00,Lucas Oil Stadium,open,,,Home
2016_05_NE_CLE,2016,5,2016-10-09,13:00,NE,CLE,33,13,CLE00,FirstEnergy Stadium,outdoors,58.0,13.0,Home
2016_05_NYG_GB,2016,5,2016-10-09,20:30,NYG,GB,16,23,GNB00,Lambeau Field,outdoors,49.0,7.0,Home
2016_05_NYJ_PIT,2016,5,2016-10-09,13:00,NYJ,PIT,13,31,PIT00,Heinz Field,outdoors,57.0,9.0,Home
2016_05_SD_OAK,2016,5,2016-10-09,16:25,SD,OAK,31,34,OAK00,Oakland-Alameda County Coliseum,outdoors,75.0,7.0,Home
2016_05_TB_CAR,2016,5,2016-10-10,20:30,TB,CAR,17,14,CAR00,Bank of America Stadium,outdoors,66.0,7.0,Home
2016_05_TEN_MIA,2016,5,2016-10-09,13:00,TEN,MIA,30,17,MIA00,Hard Rock Stadium,outdoors,88.0,15.0,Home
2016_05_WAS_BAL,2016,5,2016-10-09,13:00,WAS,BAL,16,10,BAL00,M&T Bank Stadium,outdoors,62.0,16.0,Home
2016_06_ATL_SEA,2016,6,2016-10-16,16:25,ATL,SEA,24,26,SEA00,CenturyLink Field,outdoors,54.0,10.0,Home
2016_06_BAL_NYG,2016,6,2016-10-16,13:00,BAL,NYG,23,27,NYC01,MetLife Stadium,outdoors,66.0,6.0,Home
2016_06_CIN_NE,2016,6,2016-10-16,13:00,CIN,NE,17,35,BOS00,Gillette Stadium,outdoors,66.0,14.0,Home
2016_06_CLE_TEN,2016,6,2016-10-16,13:00,CLE,TEN,26,28,NAS00,Nissan Stadium,outdoors,75.0,10.0,Home
2016_06_DAL_GB,2016,6,2016-10-16,16:25,DAL,GB,30,16,GNB00,Lambeau Field,outdoors,69.0,8.0,Home
2016_06_DEN_SD,2016,6,2016-10-13,20:25,DEN,SD,13,21,SDG00,Qualcomm Stadium,outdoors,70.0,9.0,Home
2016_06_JAX_CHI,2016,6,2016-10-16,13:00,JAX,CHI,17,16,CHI98,Soldier Field,outdoors,69.0,7.0,Home
2016_06_KC_OAK,2016,6,2016-10-16,16:05,KC,OAK,26,10,OAK00,Oakland-Alameda County Coliseum,outdoors,61.0,6.0,Home
2016_06_PHI_WAS,2016,6,2016-10-16,13:00,PHI,WAS,20,27,WAS00,FedExField,outdoors,69.0,13.0,Home
2016_06_PIT_MIA,2016,6,2016-10-16,13:00,PIT,MIA,15,30,MIA00,Hard Rock Stadium,outdoors,81.0,15.0,Home
2016_06_SF_BUF,2016,6,2016-10-16,13:00,SF,BUF,16,45,BUF00,New Era Field,outdoors,72.0,22.0,Home
2016_07_BAL_NYJ,2016,7,2016-10-23,13:00,BAL,NYJ,16,24,NYC01,MetLife Stadium,outdoors,58.0,36.0,Home
2016_07_BUF_MIA,2016,7,2016-10-23,13:00,BUF,MIA,25,28,MIA00,Hard Rock Stadium,outdoors,81.0,11.0,Home
2016_07_CHI_GB,2016,7,2016-10-20,20:25,CHI,GB,10,26,GNB00,Lambeau Field,outdoors,47.0,10.0,Home
2016_07_CLE_CIN,2016,7,2016-10-23,13:00,CLE,CIN,17,31,CIN00,Paul Brown Stadium,outdoors,65.0,5.0,Home
2016_07_HOU_DEN,2016,7,2016-10-24,20:30,HOU,DEN,9,27,DEN00,Sports Authority Field at Mile High,outdoors,71.0,5.0,Home
2016_07_IND_TEN,2016,7,2016-10-23,13:00,IND,TEN,34,26,NAS00,Nissan Stadium,outdoors,68.0,5.0,Home
2016_07_MIN_PHI,2016,7,2016-10-23,13:00,MIN,PHI,10,21,PHI00,Lincoln Financial Field,outdoors,62.0,20.0,Home
2016_07_NE_PIT,2016,7,2016-10-23,16:25,NE,PIT,27,16,PIT00,Heinz Field,outdoors,63.0,13.0,Home
2016_07_NO_KC,2016,7,2016-10-23,13:00,NO,KC,21,27,KAN00,Arrowhead Stadium,outdoors,68.0,9.0,Home
2016_07_NYG_LA,2016,7,2016-10-23,09:30,NYG,LA,17,10,LON01,Twickenham Stadium,outdoors,55.0,12.0,Neutral
2016_07_OAK_JAX,2016,7,2016-10-23,13:00,OAK,JAX,33,16,JAX00,EverBank Field,outdoors,70.0,6.0,Home
2016_07_TB_SF,2016,7,2016-10-23,16:05,TB,SF,34,17,SFO01,Levi's Stadium,outdoors,68.0,5.0,Home
2016_08_ARI_CAR,2016,8,2016-10-30,13:00,ARI,CAR,20,30,CAR00,Bank of America Stadium,outdoors,85.0,5.0,Home
2016_08_JAX_TEN,2016,8,2016-10-27,20:25,JAX,TEN,22,36,NAS00,Nissan Stadium,outdoors,71.0,3.0,Home
2016_08_MIN_CHI,2016,8,2016-10-31,20:30,MIN,CHI,10,20,CHI98,Soldier Field,outdoors,58.0,12.0,Home
2016_08_NE_BUF,2016,8,2016-10-30,13:00,NE,BUF,41,25,BUF00,New Era Field,outdoors,49.0,9.0,Home
2016_08_NYJ_CLE,2016,8,2016-10-30,13:00,NYJ,CLE,31,28,CLE00,FirstEnergy Stadium,outdoors,53.0,15.0,Home
2016_08_OAK_TB,2016,8,2016-10-30,13:00,OAK,TB,30,24,TAM00,Raymond James Stadium,outdoors,86.0,15.0,Home
2016_08_SD_DEN,2016,8,2016-10-30,16:05,SD,DEN,19,27,DEN00,Sports Authority Field at Mile High,outdoors,76.0,6.0,Home
2016_08_WAS_CIN,2016,8,2016-10-30,09:30,WAS,CIN,27,27,LON00,Wembley Stadium,outdoors,54.0,2.0,Neutral
2016_09_ATL_TB,2016,9,2016-11-03,20:25,ATL,TB,43,28,TAM00,Raymond James Stadium,outdoors,76.0,2.0,Home
2016_09_BUF_SEA,2016,9,2016-11-07,20:30,BUF,SEA,25,31,SEA00,CenturyLink Field,outdoors,61.0,4.0,Home
2016_09_CAR_LA,2016,9,2016-11-06,16:05,CAR,LA,13,10,LAX99,Los Angeles Memorial Coliseum,outdoors,75.0,2.0,Home
2016_09_DAL_CLE,2016,9,2016-11-06,13:00,DAL,CLE,35,10,CLE00,FirstEnergy Stadium,outdoors,58.0,4.0,Home
2016_09_DEN_OAK,2016,9,2016-11-06,20:30,DEN,OAK,20,30,OAK00,Oakland-Alameda County Coliseum,outdoors,65.0,6.0,Home
