stadium,latitude,longitude
AT&T Stadium,32.747778,-97.092778
Acrisure Stadium,40.446667,-80.015833
Allianz Arena,48.2188,11.6247
Arena Corinthians,-23.5453,-46.4742
Arrowhead Stadium,39.048889,-94.483889
Azteca Stadium,19.3029794,-99.15047
Bank of America Stadium,35.225833,-80.852778
CenturyLink Field,47.5952,-122.3316
Deutsche Bank Park,50.0686,8.6455
Empower Field at Mile High,39.743889,-105.02
EverBank Field,30.323889,-81.6375
FedExField,38.907778,-76.864444
FirstEnergy Stadium,41.506111,-81.699444
GEHA Field at Arrowhead Stadium,39.048889,-94.483889
Gillette Stadium,42.091,-71.264
Hard Rock Stadium,25.958056,-80.238889
Heinz Field,40.446667,-80.015833
Lambeau Field,44.501389,-88.062222
Levi's Stadium,37.403,-121.97
Lincoln Financial Field,39.900833,-75.1675
Los Angeles Memorial Coliseum,34.014167,-118.287778
Lucas Oil Stadium,39.760056,-86.162806
Lumen Field,47.5952,-122.3316
M&T Bank Stadium,39.278056,-76.622778
Mercedes-Benz Stadium,33.755556,-84.4
MetLife Stadium,40.813528,-74.074361
NRG Stadium,29.684722,-95.410833
New Era Field,42.774,-78.787
Nissan Stadium,36.166389,-86.771389
Oakland-Alameda County Coliseum,37.751667,-122.200556
Paul Brown Stadium,39.095,-84.516
Paycor Stadium,39.095,-84.516
Qualcomm Stadium,32.783056,-117.119444
Raymond James Stadium,27.975833,-82.503333
Ring Central Coliseum,37.751667,-122.200556
Soldier Field,41.8623,-87.6167
Sports Authority Field at Mile High,39.743889,-105.02
State Farm Stadium,33.528,-112.263
StubHub Center,33.864,-118.261
TIAA Bank Stadium,30.323889,-81.6375
Tottenham Stadium,51.604157,-0.0662604
Twickenham Stadium,51.456111,-0.341667
University of Phoenix Stadium,33.528,-112.263
Wembley Stadium,51.555833,-0.279722
