game_id,team,fantasy_points,position,season,week,home_team,away_team,stadium,roof,temperature_f_avg,temperature_f_kickoff,wind_speed_mph_avg,wind_speed_mph_max,wind_gust_mph_avg,wind_gust_mph_max,rain_mm_h_avg,rain_mm_h_max,rain_total_mm_4h,snow_cm_h_avg,snow_cm_h_max,snow_total_cm_4h,home,opponent
2016_01_BUF_BAL,BAL,12.02,QB,2016,1,BAL,BUF,M&T Bank Stadium,outdoors,81.375,80.9,8.975,10.9,18.775000000000002,22.1,0.0,0.0,0.0,0.0,0.0,0.0,1,BUF
2016_01_BUF_BAL,BUF,5.540000000000001,QB,2016,1,BAL,BUF,M&T Bank Stadium,outdoors,81.375,80.9,8.975,10.9,18.775000000000002,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0,BAL
2016_01_CAR_DEN,CAR,21.16,QB,2016,1,DEN,CAR,Sports Authority Field at Mile High,outdoors,79.175,85.1,5.3999999999999995,8.2,11.825,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0,DEN
2016_01_CAR_DEN,DEN,9.120000000000001,QB,2016,1,DEN,CAR,Sports Authority Field at Mile High,outdoors,79.175,85.1,5.3999999999999995,8.2,11.825,14.5,0.0,0.0,0.0,0.0,0.0,0.0,1,CAR
2016_01_CIN_NYJ,CIN,17.34,QB,2016,1,NYJ,CIN,MetLife Stadium,outdoors,80.19999999999999,79.1,9.575,11.6,20.05,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0,NYJ
2016_01_CIN_NYJ,NYJ,15.06,QB,2016,1,NYJ,CIN,MetLife Stadium,outdoors,80.19999999999999,79.1,9.575,11.6,20.05,23.7,0.0,0.0,0.0,0.0,0.0,0.0,1,CIN
2016_01_CLE_PHI,CLE,9.3,QB,2016,1,PHI,CLE,Lincoln Financial Field,outdoors,81.9,82.3,8.350000000000001,10.4,21.375,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0,PHI
2016_01_CLE_PHI,PHI,19.220000000000002,QB,2016,1,PHI,CLE,Lincoln Financial Field,outdoors,81.9,82.3,8.350000000000001,10.4,21.375,26.2,0.0,0.0,0.0,0.0,0.0,0.0,1,CLE
2016_01_DET_IND,DET,26.1,QB,2016,1,IND,DET,Lucas Oil Stadium,open,74.2,74.6,1.175,1.7,6.25,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0,IND
2016_01_DET_IND,IND,35.5,QB,2016,1,IND,DET,Lucas Oil Stadium,open,74.2,74.6,1.175,1.7,6.25,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1,DET
2016_01_GB_JAX,GB,23.560000000000002,QB,2016,1,JAX,GB,EverBank Field,outdoors,88.2,88.3,4.1000000000000005,5.8,13.375,14.8,0.025,0.1,0.1,0.0,0.0,0.0,0,JAX
2016_01_GB_JAX,JAX,15.0,QB,2016,1,JAX,GB,EverBank Field,outdoors,88.2,88.3,4.1000000000000005,5.8,13.375,14.8,0.025,0.1,0.1,0.0,0.0,0.0,1,GB
2016_01_LA_SF,LA,2.2,QB,2016,1,SF,LA,Levi's Stadium,outdoors,58.0,60.3,7.5,8.1,16.05,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0,SF
2016_01_LA_SF,SF,14.5,QB,2016,1,SF,LA,Levi's Stadium,outdoors,58.0,60.3,7.5,8.1,16.05,18.8,0.0,0.0,0.0,0.0,0.0,0.0,1,LA
2016_01_MIA_SEA,MIA,15.14,QB,2016,1,SEA,MIA,CenturyLink Field,outdoors,63.75,61.6,3.475,4.5,10.924999999999999,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0,SEA
2016_01_MIA_SEA,SEA,11.92,QB,2016,1,SEA,MIA,CenturyLink Field,outdoors,63.75,61.6,3.475,4.5,10.924999999999999,11.9,0.0,0.0,0.0,0.0,0.0,0.0,1,MIA
2016_01_MIN_TEN,MIN,10.24,QB,2016,1,TEN,MIN,Nissan Stadium,outdoors,80.975,78.8,4.825,5.0,15.475,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0,TEN
2016_01_MIN_TEN,TEN,16.74,QB,2016,1,TEN,MIN,Nissan Stadium,outdoors,80.975,78.8,4.825,5.0,15.475,16.1,0.0,0.0,0.0,0.0,0.0,0.0,1,MIN
2016_01_PIT_WAS,PIT,21.8,QB,2016,1,WAS,PIT,FedExField,outdoors,73.35,76.2,4.475,5.4,10.35,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0,WAS
2016_01_PIT_WAS,WAS,9.96,QB,2016,1,WAS,PIT,FedExField,outdoors,73.35,76.2,4.475,5.4,10.35,12.3,0.0,0.0,0.0,0.0,0.0,0.0,1,PIT
2016_01_SD_KC,KC,28.02,QB,2016,1,KC,SD,Arrowhead Stadium,outdoors,74.575,73.0,8.2,8.3,19.25,19.7,0.0,0.0,0.0,0.0,0.0,0.0,1,SD
2016_01_SD_KC,LAC,14.620000000000001,QB,2016,1,KC,SD,Arrowhead Stadium,outdoors,74.575,73.0,8.2,8.3,19.25,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0,KC
2016_02_ATL_OAK,ATL,27.84,QB,2016,2,OAK,ATL,Oakland-Alameda County Coliseum,outdoors,91.2,88.1,4.475,6.3,12.25,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0,OAK
2016_02_ATL_OAK,LV,24.96,QB,2016,2,OAK,ATL,Oakland-Alameda County Coliseum,outdoors,91.2,88.1,4.475,6.3,12.25,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0,OAK
2016_02_BAL_CLE,BAL,16.18,QB,2016,2,CLE,BAL,FirstEnergy Stadium,outdoors,76.825,76.3,4.375,4.8,13.924999999999999,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0,CLE
2016_02_BAL_CLE,CLE,14.399999999999999,QB,2016,2,CLE,BAL,FirstEnergy Stadium,outdoors,76.825,76.3,4.375,4.8,13.924999999999999,14.3,0.0,0.0,0.0,0.0,0.0,0.0,1,BAL
